Zone	Treatment	Plot	Replicate	BGB_g_m2	Rhizome_g_m2	Fine_roots_g_m2	Rest_g_m2	Rhiz_fine
PZ	ambient	110	B	1244.193768	680.7852691	563.4084985	308.9595333	1.208333333
PZ	ambient	110	A	666.8592116	273.7465021	393.1127094	456.7746867	0.696356275
PZ	ambient	120	B	1062.757132	508.5000432	554.2570893	413.0070773	0.917444365
PZ	ambient	120	A	1539.426187	653.7289287	885.6972583	472.690181	0.738095238
PZ	ambient	130	A	646.9648437	148.4119844	498.5528592	661.6866759	0.297685555
PZ	ambient	130	B	899.6233158	391.1232726	508.5000432	377.1972151	0.769170579
LM	ambient	240	B	704.6585105	58.88732894	645.7711816	88.72888077	0.091189156
LM	ambient	240	A	477.8627166	142.4436741	335.4190426	291.6514332	0.424673784
LM	ambient	250	B	776.2782349	387.1443991	389.1338359	128.5176165	0.994887526
LM	ambient	250	A	1457.859279	605.9824458	851.8768329	510.48948	0.711349837
LM	ambient	260	B	997.7025495	100.0686705	897.633879	957.3169827	0.111480496
LM	ambient	260	A	826.0141546	200.1373409	625.8768137	1024.957834	0.319771138
HM	ambient	370	A	231.1725548	50.92958179	180.2429731	122.5493062	0.282560706
HM	ambient	370	B	131.7007154	21.08802996	110.6126854	100.6655015	0.190647482
HM	ambient	380	B	159.5528304	37.00352427	122.5493062	387.1443991	0.301948052
HM	ambient	380	A	133.6901522	31.0352139	102.6549383	140.4542373	0.302325581
HM	ambient	390	B	538.341595	117.9736016	420.3679934	698.8891439	0.280643635
HM	ambient	390	A	804.9261247	34.41725644	770.5088682	1221.912076	0.044668216
PZ	+1.5	111	A	937.8205022	555.4507514	382.3697508	388.5370048	1.452653486
PZ	+1.5	111	B	947.3697988	432.9014452	514.4683535	218.042272	0.841453983
PZ	+1.5	121	B	1306.065252	372.6215105	933.4437412	398.4841888	0.399190111
PZ	+1.5	121	A	1140.345167	558.2359629	582.1092044	200.1373409	0.95898838
PZ	+1.5	131	A	599.8151918	243.3081193	356.5070725	54.31162433	0.682477679
PZ	+1.5	131	B	550.0792721	149.8045902	400.2746819	247.2869928	0.374254473
LM	+1.5	241	B	541.5246939	178.2535363	363.2711576	281.7042493	0.490690033
LM	+1.5	241	A	719.7782301	54.90845537	664.8697748	208.0950881	0.082585278
LM	+1.5	251	A	893.6550055	275.7359389	617.9190666	327.4612954	0.446233097
LM	+1.5	251	B	702.6690738	122.5493062	580.1197676	226.0000192	0.211248285
LM	+1.5	261	B	1053.40678	201.5299467	851.8768329	237.3398089	0.236571695
LM	+1.5	261	A	611.1549815	35.01408748	576.140894	1066.736006	0.060773481
HM	+1.5	371	B	209.2887502	9.151409228	200.1373409	194.1690306	0.045725646
HM	+1.5	371	A	256.0405147	43.96655303	212.0739617	220.0317088	0.207317073
HM	+1.5	381	B	408.232429	66.8450761	341.3873529	132.4964901	0.195804196
HM	+1.5	381	A	101.8591636	17.10915638	84.7500072	80.77113362	0.201877934
HM	+1.5	391	B	461.9472223	150.4014212	311.5458011	140.4542373	0.482758621
HM	+1.5	391	A	402.2641187	138.4648005	263.7993182	371.2289048	0.524886878
PZ	+3.0	112	B	1415.484275	462.146166	953.3381091	454.1884188	0.484766277
PZ	+3.0	112	A	841.929649	478.6584913	363.2711576	261.8098814	1.317634173
PZ	+3.0	122	A	1447.315264	587.4806837	859.8345801	110.0158544	0.683248496
PZ	+3.0	122	B	1536.640976	664.8697748	871.7712008	131.8996591	0.76266545
PZ	+3.0	132	A	391.1232726	143.8362798	247.2869928	82.16373937	0.581657281
PZ	+3.0	132	B	189.3943823	72.81338646	116.5809958	88.72888077	0.624573379
LM	+3.0	242	A	1807.403322	326.8644644	1480.538858	489.998281	0.220773985
LM	+3.0	242	B	851.8768329	98.67606472	753.2007682	377.1972151	0.13100898
LM	+3.0	252	B	400.2746819	7.161972439	393.1127094	86.73944399	0.018218623
LM	+3.0	252	A	292.8450953	58.88732894	233.9577663	102.6549383	0.25170068
LM	+3.0	262	A	886.2940893	64.25880827	822.0352811	293.044039	0.078170378
LM	+3.0	262	B	364.4648197	17.10915638	347.3556633	56.89789216	0.049255441
HM	+3.0	372	A	117.7746579	31.0352139	86.73944399	62.86620252	0.357798165
HM	+3.0	372	B	251.0669227	86.73944399	164.3274787	341.3873529	0.527845036
HM	+3.0	382	A	438.0739809	98.67606472	339.3979161	208.0950881	0.29073857
HM	+3.0	382	B	274.9401642	33.02465069	241.9155135	148.4119844	0.136513158
HM	+3.0	392	A	818.8521822	92.11092331	726.7412589	457.9683487	0.126745141
HM	+3.0	392	B	117.7746579	33.02465069	84.7500072	84.7500072	0.389671362
