ASVs;JMG1;JMG10;JMG11;JMG12;JMG13;JMG14;JMG15;JMG16;JMG17;JMG18;JMG19;JMG2;JMG20;JMG21;JMG22;JMG23;JMG24;JMG25;JMG26;JMG27;JMG28;JMG29;JMG3;JMG30;JMG31;JMG32;JMG33;JMG34;JMG35;JMG36;JMG37;JMG38;JMG39;JMG4;JMG40;JMG41;JMG42;JMG43;JMG44;JMG45;JMG46;JMG47;JMG48;JMG49;JMG5;JMG50;JMG51;JMG52;JMG53;JMG54;JMG55;JMG56;JMG57;JMG6;JMG7;JMG8;JMG9;Kingdom;Phylum;Class;Order;Family;Genus;Species
ASV12:Bacillus.halotolerans;0;0;0;1;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;5112;0;3;0;3;0;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;halotolerans
ASV14:Sva1033;730;678;496;1180;331;901;475;1152;1250;716;380;1642;354;350;344;134;275;121;286;351;388;404;564;182;367;194;270;203;326;158;0;5;9;898;34;15;64;172;197;166;288;230;211;356;700;808;253;450;18;1;175;57;146;1199;1266;1437;726;Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Sva1033;NA;NA
ASV16:Escherichia-Shigella.coli;36;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4400;0;0;1;13;0;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;coli
ASV20:Desulfobulbaceae;570;199;528;469;499;287;630;703;437;318;48;674;25;52;29;23;16;26;21;440;34;741;471;34;22;16;11;44;42;36;0;2;3;139;5;2;0;39;95;38;116;63;48;63;355;282;73;69;5;6;164;0;85;258;865;580;418;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;NA;NA
ASV27:Salmonella.enterica;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2723;0;0;1;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;enterica
ASV28:Woeseia;971;1257;1268;1495;1520;1656;1029;1708;1464;1536;908;1705;850;934;1002;728;702;646;739;974;531;773;570;793;713;458;703;522;604;597;274;1004;750;1017;466;884;749;667;700;630;776;453;411;688;732;469;809;735;902;1367;468;210;431;2066;1754;1703;1169;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;NA
ASV47:Pseudomonas.aeruginosa;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2139;0;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;aeruginosa
ASV48:Bradyrhizobium.elkanii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;10;0;0;4;2;0;0;2;6;0;0;0;0;2;0;0;17;1;30;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;elkanii
ASV53:Persicirhabdus;8;17;13;20;0;10;5;29;8;4;0;31;1;0;1;0;0;2;0;0;0;1;7;0;4;0;0;0;2;0;0;1;1;26;1;1;0;0;2;0;1;1;0;3;2;0;3;0;1;1;1;0;1;43;19;19;10;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Persicirhabdus;NA
ASV58:Clostridium sensu stricto 13.estertheticum;3;0;0;0;1;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;0;0;0;0;2;0;8;0;0;6;6;9;7;14;31;5;0;11;10;8;0;0;45;0;35;0;0;0;0;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13;estertheticum
ASV63:Limosilactobacillus;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;363;0;0;0;0;0;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;NA
ASV74:Listeria.monocytogenes;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;664;0;3;0;1;0;Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;monocytogenes
ASV81:Enterococcus.faecalis;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;521;0;0;0;0;0;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis
ASV93:Geothermobacter;61;92;82;150;685;148;163;139;240;292;1448;104;889;1256;1066;1022;1020;979;753;1769;615;687;4;1644;1030;644;961;732;1287;1195;0;8;5;64;43;3;44;66;140;84;131;65;54;130;14;173;81;236;8;3;42;19;34;91;46;69;114;Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geothermobacteraceae;Geothermobacter;NA
ASV108:Eudoraea;41;41;30;30;8;43;38;26;19;7;0;62;7;1;8;5;2;4;1;4;13;3;45;1;4;0;4;2;0;2;2;0;0;56;1;0;0;4;0;1;0;1;0;4;66;2;5;13;0;1;0;0;0;57;148;82;53;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Eudoraea;NA
ASV112:Robiginitalea;32;16;42;81;35;13;115;33;79;47;3;55;6;8;5;5;6;0;9;7;6;15;95;3;5;3;3;4;6;3;0;0;5;40;1;0;1;5;1;5;1;0;1;6;32;4;13;6;4;7;2;1;0;51;123;44;89;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Robiginitalea;NA
ASV119:Desulfocapsaceae;180;202;104;296;49;218;67;308;70;85;147;274;64;124;63;21;20;40;17;102;63;94;263;39;105;49;92;69;88;41;0;2;4;94;19;0;9;4;10;9;4;30;17;21;194;37;18;43;0;1;33;2;27;196;296;252;127;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;NA;NA
ASV127:Psychrobacter.nivimaris;286;0;13;0;13;0;61;0;12;13;0;2;0;0;0;0;26;3;102;0;0;0;15;0;2;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;75;0;0;0;0;0;0;0;0;0;26;0;25;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;nivimaris
