"ID.y","GLU_value","Depth.x.x","Zone.x","Treatment.x","Layer.x","CHI_value","Depth.x.y","Zone.y","Treatment.y","Layer.y","LEU_value","Depth.x","Zone","Treatment","Layer","GLU_CHI_ratio","Depth"
"121(C2)0-5",1539.75047513148,"0-5 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",54.7350656582847,"0-5 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",812.702050559859,"0-5 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",1.77505717284094,"0-5 cm"
"121(C2)5-10",1648.00268088974,"5-10 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",73.2419340967683,"5-10 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",659.073590959271,"5-10 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",2.25039975871551,"5-10 cm"
"121(C2)20-30",1177.2547386225,"20-30 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",NA,NA,NA,NA,NA,250.57717482201,"20-30 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",NA,"20-30 cm"
"121(C2)40-50",998.493647516138,"40-50 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",15.9662131381608,"40-50 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",373.4003436368,"40-50 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",2.56440526322149,"40-50 cm"
"121(C2)60-80",845.36380382098,"60-80 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",0.16822252875734,"60-80 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",276.738462631017,"60-80 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",3.05288333264041,"60-80 cm"
"121(C2)80-100",719.327090131807,"80-100 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",10.493585664083,"80-100 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",193.772904101449,"80-100 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",3.52151295573488,"80-100 cm"
"372(G5)0-5",917.813994690836,"0-5 cm","High marsh","+3.0°C","Topsoil
(0-30 cm)",216.249286498254,"0-5 cm","High marsh","+3.0°C","Topsoil
(0-30 cm)",751.749344211106,"0-5 cm","High marsh","+3.0°C","Topsoil
(0-30 cm)",0.94815629441361,"0-5 cm"
"372(G5)5-10",1154.9620776852,"5-10 cm","High marsh","+3.0°C","Topsoil
(0-30 cm)",211.785074492844,"5-10 cm","High marsh","+3.0°C","Topsoil
(0-30 cm)",795.120859588859,"5-10 cm","High marsh","+3.0°C","Topsoil
(0-30 cm)",1.14704069028903,"5-10 cm"
"372(G5)20-30",1148.98124783522,"20-30 cm","High marsh","+3.0°C","Topsoil
(0-30 cm)",337.762406280438,"20-30 cm","High marsh","+3.0°C","Topsoil
(0-30 cm)",1625.13793034542,"20-30 cm","High marsh","+3.0°C","Topsoil
(0-30 cm)",0.585348744608331,"20-30 cm"
"372(G5)40-50",965.571425086247,"40-50 cm","High marsh","+3.0°C","Subsoil
(40-100 cm)",121.033396366607,"40-50 cm","High marsh","+3.0°C","Subsoil
(40-100 cm)",992.029271653461,"40-50 cm","High marsh","+3.0°C","Subsoil
(40-100 cm)",0.867490620994251,"40-50 cm"
"372(G5)60-80",1127.21406769538,"60-80 cm","High marsh","+3.0°C","Subsoil
(40-100 cm)",143.791272075498,"60-80 cm","High marsh","+3.0°C","Subsoil
(40-100 cm)",1570.56039336578,"60-80 cm","High marsh","+3.0°C","Subsoil
(40-100 cm)",0.657516243847919,"60-80 cm"
"372(G5)80-100",776.673182182762,"80-100 cm","High marsh","+3.0°C","Subsoil
(40-100 cm)",313.03388146238,"80-100 cm","High marsh","+3.0°C","Subsoil
(40-100 cm)",1805.48015392739,"80-100 cm","High marsh","+3.0°C","Subsoil
(40-100 cm)",0.366612242925202,"80-100 cm"
"391(C2)0-5",1388.50764055938,"0-5 cm","High marsh","+1.5°C","Topsoil
(0-30 cm)",418.831377483733,"0-5 cm","High marsh","+1.5°C","Topsoil
(0-30 cm)",519.722519292672,"0-5 cm","High marsh","+1.5°C","Topsoil
(0-30 cm)",1.47941172619751,"0-5 cm"
"391(C2)5-10",1664.45946394406,"5-10 cm","High marsh","+1.5°C","Topsoil
(0-30 cm)",398.87288891783,"5-10 cm","High marsh","+1.5°C","Topsoil
(0-30 cm)",757.766742698381,"5-10 cm","High marsh","+1.5°C","Topsoil
(0-30 cm)",1.439047580981,"5-10 cm"
"391(C2)20-30",1759.67062012617,"20-30 cm","High marsh","+1.5°C","Topsoil
(0-30 cm)",397.78257401848,"20-30 cm","High marsh","+1.5°C","Topsoil
(0-30 cm)",1094.88475407266,"20-30 cm","High marsh","+1.5°C","Topsoil
(0-30 cm)",1.17887662375278,"20-30 cm"
"391(C2)40-50",373.502704637887,"40-50 cm","High marsh","+1.5°C","Subsoil
(40-100 cm)",60.3729177812396,"40-50 cm","High marsh","+1.5°C","Subsoil
(40-100 cm)",963.827368819712,"40-50 cm","High marsh","+1.5°C","Subsoil
(40-100 cm)",0.364677406874629,"40-50 cm"
"391(C2)60-80",1030.3747074289,"60-80 cm","High marsh","+1.5°C","Subsoil
(40-100 cm)",127.400750647475,"60-80 cm","High marsh","+1.5°C","Subsoil
(40-100 cm)",933.958548960146,"60-80 cm","High marsh","+1.5°C","Subsoil
(40-100 cm)",0.970806688941086,"60-80 cm"
"391(C2)80-100",1005.56633250975,"80-100 cm","High marsh","+1.5°C","Subsoil
(40-100 cm)",124.853115163017,"80-100 cm","High marsh","+1.5°C","Subsoil
(40-100 cm)",447.151170896281,"80-100 cm","High marsh","+1.5°C","Subsoil
(40-100 cm)",1.75796992613008,"80-100 cm"
"370(G5)0-5",727.859660626022,"0-5 cm","High marsh","ambient","Topsoil
(0-30 cm)",401.006616642799,"0-5 cm","High marsh","ambient","Topsoil
(0-30 cm)",1000.94685983792,"0-5 cm","High marsh","ambient","Topsoil
(0-30 cm)",0.519175331304964,"0-5 cm"
"370(G5)5-10",830.034792142417,"5-10 cm","High marsh","ambient","Topsoil
(0-30 cm)",650.541150428958,"5-10 cm","High marsh","ambient","Topsoil
(0-30 cm)",1203.93599429742,"5-10 cm","High marsh","ambient","Topsoil
(0-30 cm)",0.447584266273008,"5-10 cm"
"370(G5)20-30",1242.56926192742,"20-30 cm","High marsh","ambient","Topsoil
(0-30 cm)",590.238210785127,"20-30 cm","High marsh","ambient","Topsoil
(0-30 cm)",1549.12802348732,"20-30 cm","High marsh","ambient","Topsoil
(0-30 cm)",0.580811850734846,"20-30 cm"
"370(G5)40-50",169.07590464572,"40-50 cm","High marsh","ambient","Subsoil
(40-100 cm)",530.715957656606,"40-50 cm","High marsh","ambient","Subsoil
(40-100 cm)",1605.13689799397,"40-50 cm","High marsh","ambient","Subsoil
(40-100 cm)",0.079160839286478,"40-50 cm"
"370(G5)60-80",146.012273812425,"60-80 cm","High marsh","ambient","Subsoil
(40-100 cm)",13.1012326552793,"60-80 cm","High marsh","ambient","Subsoil
(40-100 cm)",888.699698411007,"60-80 cm","High marsh","ambient","Subsoil
(40-100 cm)",0.161911868553718,"60-80 cm"
"120(C2)0-5",836.245864896993,"0-5 cm","Pioneer zone","ambient","Topsoil
(0-30 cm)",260.712077927646,"0-5 cm","Pioneer zone","ambient","Topsoil
(0-30 cm)",1539.59206446237,"0-5 cm","Pioneer zone","ambient","Topsoil
(0-30 cm)",0.464502549989594,"0-5 cm"
"120(C2)5-10",815.041161611397,"5-10 cm","Pioneer zone","ambient","Topsoil
(0-30 cm)",61.4463195916884,"5-10 cm","Pioneer zone","ambient","Topsoil
(0-30 cm)",1980.16115416706,"5-10 cm","Pioneer zone","ambient","Topsoil
(0-30 cm)",0.399215408489294,"5-10 cm"
"120(C2)20-30",691.66448016377,"20-30 cm","Pioneer zone","ambient","Topsoil
(0-30 cm)",54.3094732237999,"20-30 cm","Pioneer zone","ambient","Topsoil
(0-30 cm)",1971.58700751889,"20-30 cm","Pioneer zone","ambient","Topsoil
(0-30 cm)",0.34141156112291,"20-30 cm"
"120(C2)40-50",421.718758258479,"40-50 cm","Pioneer zone","ambient","Subsoil
(40-100 cm)",43.0215319763554,"40-50 cm","Pioneer zone","ambient","Subsoil
(40-100 cm)",1491.41288554884,"40-50 cm","Pioneer zone","ambient","Subsoil
(40-100 cm)",0.274836613049025,"40-50 cm"
"120(C2)60-80",265.172424394326,"60-80 cm","Pioneer zone","ambient","Subsoil
(40-100 cm)",46.2638103881386,"60-80 cm","Pioneer zone","ambient","Subsoil
(40-100 cm)",1100.19126650357,"60-80 cm","Pioneer zone","ambient","Subsoil
(40-100 cm)",0.231297701706085,"60-80 cm"
"120(C2)80-100",119.125760611324,"80-100 cm","Pioneer zone","ambient","Subsoil
(40-100 cm)",31.1580006927231,"80-100 cm","Pioneer zone","ambient","Subsoil
(40-100 cm)",358.365626403016,"80-100 cm","Pioneer zone","ambient","Subsoil
(40-100 cm)",0.305824223037554,"80-100 cm"
"121(A2)0-5",1015.6299116027,"0-5 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",75.0839066713123,"0-5 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",444.395174838814,"0-5 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",1.95509299171443,"0-5 cm"
"121(A2)5-10",677.998178792666,"5-10 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",90.3537483553807,"5-10 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",672.342133126571,"5-10 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",0.888949573813465,"5-10 cm"
"121(A2)20-30",947.172957593087,"20-30 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",22.7580885727096,"20-30 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",453.02390758772,"20-30 cm","Pioneer zone","+1.5°C","Topsoil
(0-30 cm)",1.99077091028411,"20-30 cm"
"121(A2)40-50",508.865977694945,"40-50 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",7.66964918501587,"40-50 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",408.450370571728,"40-50 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",1.22288271059974,"40-50 cm"
"121(A2)60-80",341.454305942545,"60-80 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",0.921178403778222,"60-80 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",75.8943963113893,"60-80 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",4.44511815746558,"60-80 cm"
"121(A2)80-100",360.887775061871,"80-100 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",NA,NA,NA,NA,NA,155.979632730502,"80-100 cm","Pioneer zone","+1.5°C","Subsoil
(40-100 cm)",NA,"80-100 cm"
"390(A2)0-5",802.851063193101,"0-5 cm","High marsh","ambient","Topsoil
(0-30 cm)",249.4901772118,"0-5 cm","High marsh","ambient","Topsoil
(0-30 cm)",3162.80961460049,"0-5 cm","High marsh","ambient","Topsoil
(0-30 cm)",0.235281514572523,"0-5 cm"
"390(A2)5-10",1044.15521562469,"5-10 cm","High marsh","ambient","Topsoil
(0-30 cm)",425.080758012661,"5-10 cm","High marsh","ambient","Topsoil
(0-30 cm)",4012.16338993514,"5-10 cm","High marsh","ambient","Topsoil
(0-30 cm)",0.23531615137914,"5-10 cm"
"390(A2)20-30",1570.70080163953,"20-30 cm","High marsh","ambient","Topsoil
(0-30 cm)",549.39839117825,"20-30 cm","High marsh","ambient","Topsoil
(0-30 cm)",7659.04602169321,"20-30 cm","High marsh","ambient","Topsoil
(0-30 cm)",0.191351822907706,"20-30 cm"
"390(A2)40-50",597.189527118002,"40-50 cm","High marsh","ambient","Subsoil
(40-100 cm)",56.2390640989735,"40-50 cm","High marsh","ambient","Subsoil
(40-100 cm)",4095.49638192038,"40-50 cm","High marsh","ambient","Subsoil
(40-100 cm)",0.143840939501717,"40-50 cm"
"390(A2)60-80",50.595824268236,"60-80 cm","High marsh","ambient","Subsoil
(40-100 cm)",6.3055444305388,"60-80 cm","High marsh","ambient","Subsoil
(40-100 cm)",2993.67015306856,"60-80 cm","High marsh","ambient","Subsoil
(40-100 cm)",0.0168654113799704,"60-80 cm"
"390(A2)80-100",210.732757043814,"80-100 cm","High marsh","ambient","Subsoil
(40-100 cm)",273.192460581987,"80-100 cm","High marsh","ambient","Subsoil
(40-100 cm)",4430.89267682245,"80-100 cm","High marsh","ambient","Subsoil
(40-100 cm)",0.044797819530981,"80-100 cm"
"390(G5)0-5",1077.88391283969,"0-5 cm","High marsh","ambient","Topsoil
(0-30 cm)",957.997978340576,"0-5 cm","High marsh","ambient","Topsoil
(0-30 cm)",1587.69669886674,"0-5 cm","High marsh","ambient","Topsoil
(0-30 cm)",0.423414450480036,"0-5 cm"
"390(G5)5-10",1478.91164246233,"5-10 cm","High marsh","ambient","Topsoil
(0-30 cm)",603.281359990374,"5-10 cm","High marsh","ambient","Topsoil
(0-30 cm)",768.330961150889,"5-10 cm","High marsh","ambient","Topsoil
(0-30 cm)",1.07822860706864,"5-10 cm"
