"Zone","Layer","Treatment","Enzyme","Plot","Activity_plot_mean","n_subplots","Activity_ambient_mean","n_ambient_plots","Activity_deviation","Activity_percent_change"
"High marsh","Subsoil (40-100 cm)","+1.5°C","CHI","371",130.391434000813,9,130.945784634032,3,-0.554350633219002,-0.42334362634758
"High marsh","Subsoil (40-100 cm)","+1.5°C","CHI","381",170.693978038258,8,130.945784634032,3,39.7481934042266,30.3546948955365
"High marsh","Subsoil (40-100 cm)","+1.5°C","CHI","391",125.33993661659,12,130.945784634032,3,-5.60584801744213,-4.28104503944849
"High marsh","Subsoil (40-100 cm)","+1.5°C","GLU","371",375.149163640648,6,381.942505587361,3,-6.79334194671316,-1.77862946577946
"High marsh","Subsoil (40-100 cm)","+1.5°C","GLU","381",443.730168720705,6,381.942505587361,3,61.7876631333441,16.177215740449
"High marsh","Subsoil (40-100 cm)","+1.5°C","GLU","391",1002.04433119901,12,381.942505587361,3,620.101825611647,162.35475668204
"High marsh","Subsoil (40-100 cm)","+1.5°C","LEU","371",1476.15794832448,9,1421.66276858979,3,54.4951797346955,3.83320017508455
"High marsh","Subsoil (40-100 cm)","+1.5°C","LEU","381",2159.79195941429,9,1421.66276858979,3,738.129190824499,51.9201323360732
"High marsh","Subsoil (40-100 cm)","+1.5°C","LEU","391",844.13488464196,12,1421.66276858979,3,-577.527883947827,-40.6234092013751
"High marsh","Subsoil (40-100 cm)","+3.0°C","CHI","372",252.657852202619,12,130.945784634032,3,121.712067568587,92.9484426770582
"High marsh","Subsoil (40-100 cm)","+3.0°C","CHI","382",513.395050685314,12,130.945784634032,3,382.449266051282,292.066878762195
"High marsh","Subsoil (40-100 cm)","+3.0°C","CHI","392",121.694381123472,11,130.945784634032,3,-9.25140351055987,-7.06506401593282
"High marsh","Subsoil (40-100 cm)","+3.0°C","GLU","372",587.773983517914,12,381.942505587361,3,205.831477930553,53.8906968770129
"High marsh","Subsoil (40-100 cm)","+3.0°C","GLU","382",387.776753590103,9,381.942505587361,3,5.83424800274156,1.52751995847372
"High marsh","Subsoil (40-100 cm)","+3.0°C","GLU","392",543.352212583402,12,381.942505587361,3,161.40970699604,42.2602105381856
"High marsh","Subsoil (40-100 cm)","+3.0°C","LEU","372",1438.53330180166,12,1421.66276858979,3,16.8705332118786,1.18667616432083
"High marsh","Subsoil (40-100 cm)","+3.0°C","LEU","382",1160.15875488855,12,1421.66276858979,3,-261.504013701235,-18.394236627624
"High marsh","Subsoil (40-100 cm)","+3.0°C","LEU","392",678.35545264459,12,1421.66276858979,3,-743.307315945197,-52.2843625343384
"High marsh","Topsoil (0-30 cm)","+1.5°C","CHI","371",289.573822988929,9,359.329369236631,3,-69.7555462477018,-19.4127038365643
"High marsh","Topsoil (0-30 cm)","+1.5°C","CHI","381",482.980860125928,12,359.329369236631,3,123.651490889297,34.4117407246686
"High marsh","Topsoil (0-30 cm)","+1.5°C","CHI","391",264.707532786474,12,359.329369236631,3,-94.6218364501569,-26.3328980459276
"High marsh","Topsoil (0-30 cm)","+1.5°C","GLU","371",830.027099994653,6,1046.85939842938,3,-216.832298434731,-20.7126476353985
"High marsh","Topsoil (0-30 cm)","+1.5°C","GLU","381",672.282394811608,9,1046.85939842938,3,-374.577003617777,-35.7810231421487
"High marsh","Topsoil (0-30 cm)","+1.5°C","GLU","391",1174.89750163796,12,1046.85939842938,3,128.038103208574,12.2306876549679
"High marsh","Topsoil (0-30 cm)","+1.5°C","LEU","371",1448.16748929122,9,1355.34973719265,3,92.8177520985728,6.84825101237906
"High marsh","Topsoil (0-30 cm)","+1.5°C","LEU","381",1887.50296017904,12,1355.34973719265,3,532.153222986383,39.2631664273339
"High marsh","Topsoil (0-30 cm)","+1.5°C","LEU","391",776.146372902783,12,1355.34973719265,3,-579.203364289869,-42.7346055704838
"High marsh","Topsoil (0-30 cm)","+3.0°C","CHI","372",408.288231728054,12,359.329369236631,3,48.9588624914235,13.6250656592399
"High marsh","Topsoil (0-30 cm)","+3.0°C","CHI","382",582.297739839504,12,359.329369236631,3,222.968370602873,62.0512514956829
"High marsh","Topsoil (0-30 cm)","+3.0°C","CHI","392",332.934650929707,12,359.329369236631,3,-26.3947183069235,-7.34554995128763
"High marsh","Topsoil (0-30 cm)","+3.0°C","GLU","372",766.181048960272,12,1046.85939842938,3,-280.678349469112,-26.8114657890274
"High marsh","Topsoil (0-30 cm)","+3.0°C","GLU","382",529.567081436051,9,1046.85939842938,3,-517.292316993333,-49.4137338566605
"High marsh","Topsoil (0-30 cm)","+3.0°C","GLU","392",941.740537052954,12,1046.85939842938,3,-105.118861376431,-10.0413543150247
"High marsh","Topsoil (0-30 cm)","+3.0°C","LEU","372",1011.8573030435,12,1355.34973719265,3,-343.492434149152,-25.3434537760439
"High marsh","Topsoil (0-30 cm)","+3.0°C","LEU","382",789.251302504249,12,1355.34973719265,3,-566.098434688403,-41.7677016606037
"High marsh","Topsoil (0-30 cm)","+3.0°C","LEU","392",910.983795650163,12,1355.34973719265,3,-444.365941542489,-32.7860720630609
"Low marsh","Subsoil (40-100 cm)","+1.5°C","CHI","241",75.9101723708108,9,121.490193688921,3,-45.5800213181105,-37.517448885479
"Low marsh","Subsoil (40-100 cm)","+1.5°C","CHI","251",81.5415409012564,10,121.490193688921,3,-39.948652787665,-32.8822035545968
"Low marsh","Subsoil (40-100 cm)","+1.5°C","CHI","261",100.138727883057,12,121.490193688921,3,-21.3514658058647,-17.5746413414531
"Low marsh","Subsoil (40-100 cm)","+1.5°C","GLU","241",309.496989699756,11,321.814642911015,3,-12.3176532112585,-3.82756144960887
"Low marsh","Subsoil (40-100 cm)","+1.5°C","GLU","251",33.9697143438292,5,321.814642911015,3,-287.844928567186,-89.4443229691005
"Low marsh","Subsoil (40-100 cm)","+1.5°C","GLU","261",239.44616319099,9,321.814642911015,3,-82.3684797200251,-25.59500679489
"Low marsh","Subsoil (40-100 cm)","+1.5°C","LEU","241",913.595231839191,12,876.540580518315,3,37.0546513208761,4.22737431037876
"Low marsh","Subsoil (40-100 cm)","+1.5°C","LEU","251",587.64787796723,11,876.540580518315,3,-288.892702551084,-32.9582804232813
"Low marsh","Subsoil (40-100 cm)","+1.5°C","LEU","261",467.168014148766,12,876.540580518315,3,-409.372566369549,-46.7032075260542
"Low marsh","Subsoil (40-100 cm)","+3.0°C","CHI","242",267.081962417993,9,121.490193688921,3,145.591768729072,119.838288431627
"Low marsh","Subsoil (40-100 cm)","+3.0°C","CHI","252",40.7320961367904,9,121.490193688921,3,-80.7580975521309,-66.4729350575521
"Low marsh","Subsoil (40-100 cm)","+3.0°C","CHI","262",128.126808912362,12,121.490193688921,3,6.63661522344051,5.46267564642603
"Low marsh","Subsoil (40-100 cm)","+3.0°C","GLU","242",158.395439568539,8,321.814642911015,3,-163.419203342475,-50.7805368532166
