ID_num	ID	Plot	Subplot	Depth	Zone	Sampling_date	Dominant_plant_species_1	Subdominant_plant_species_1	Sampling_notes	Plate	Date	EEA_g	EEA_buffer	Inc_start	Inc_end	Assay_notes
1	110(A2)0-5	110	(A2)	0-5	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_029-1	13.07.2023	2.21	22.11	11:20	10:30	
2	110(A2)5-10	110	(A2)	05. Okt	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_029-2	13.07.2023	2.06	22.03	11:20	10:30	
3	110(A2)20-30	110	(A2)	20-30	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_029-3	13.07.2023	2.02	22.03	11:20	10:30	
4	110(A2)40-50	110	(A2)	40-50	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_029-4	13.07.2023	2.22	22.01	11:20	10:30	
5	110(A2)60-80	110	(A2)	60-80	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_029-5	13.07.2023	2.01	22.23	11:20	10:30	
6	110(A2)80-100	110	(A2)	80-100	PZ	13.09.2022	Spartina anglica	Salicornia europaea		Plate_029-6	13.07.2023	2.01	22.02	11:20	10:30	
7	110(A6)0-5	110	(A6)	0-5	PZ	13.09.2022	Spartina anglica	Salicornia europaea, Puccinellia maritima	Used second plate reader	Plate_050-1	02.08.2023	2.01	22.07	13:50	10:30	
8	110(A6)5-10	110	(A6)	05. Okt	PZ	13.09.2022	Spartina anglica	Salicornia europaea, Puccinellia maritima	Used second plate reader	Plate_050-2	02.08.2023	2.04	22.19	13:50	10:30	
9	110(A6)20-30	110	(A6)	20-30	PZ	13.09.2022	Spartina anglica	Salicornia europaea, Puccinellia maritima	Used second plate reader	Plate_050-3	02.08.2023	2	22	13:50	10:30	
10	110(A6)40-50	110	(A6)	40-50	PZ	13.09.2022	Spartina anglica	Salicornia europaea, Puccinellia maritima	Used second plate reader	Plate_050-4	02.08.2023	2.04	22.09	13:50	10:30	
11	110(A6)60-80	110	(A6)	60-80	PZ	13.09.2022	Spartina anglica	Salicornia europaea, Puccinellia maritima	Used second plate reader	Plate_050-5	02.08.2023	2.02	22.08	13:50	10:30	
12	110(A6)80-100	110	(A6)	80-100	PZ	13.09.2022	Spartina anglica	Salicornia europaea, Puccinellia maritima	Used second plate reader	Plate_050-6	02.08.2023	2.04	22.08	13:50	10:30	
