"UID","Plate.x","Depth.x","ID.y","Subplot","Depth.y","Zone","Sampling_date","Dominant_plant_species_1","Subdominant_plant_species_1","Plate.y","Date","Inc_start","Inc_end","Crucible_ID","ID.x","Blank","Standard","Sub_ctrl","Hom_ctrl","Quench","Assay","n","ID_num","Plot","EEA_g","EEA_buffer","Crucible_weight","Crucible_FW","Crucible_DW_105","Crucible_LOI_550","LOI_g","OM_.","OM_g","Enzyme","Inc_time","Total_g","Quench_coeff","Emission_coeff","Net_fluorescence","Activity_OM","Treatment","Layer"
"Plate_001-1","Plate_001","0-5 cm","121(C2)0-5","(C2)","0-5","Pioneer zone","13.09.2022","Spartina anglica","","Plate_001-1","26.06.2023",2025-07-08 11:25:00,2025-07-08 10:20:00,"4",1,217.25,108723.25,1203.25,4199.5,873267.75,5898814.75,5,109,"121",2,22.07,16.5472,19.6468,18.1801,18.016,0.1641,0.052942315,0.10588463,"GLU",22.9166666666667,24.07,7.9933983761523,21744.65,736232.190173499,1539.75047513148,"+1.5°C","Topsoil
(0-30 cm)"
"Plate_001-2","Plate_001","5-10 cm","121(C2)5-10","(C2)","5-10","Pioneer zone","13.09.2022","Spartina anglica","","Plate_001-2","26.06.2023",2025-07-08 11:25:00,2025-07-08 10:20:00,"148",2,217.25,108723.25,1203.25,4022.75,633792.25,3008232,5,110,"121",1.98,21.99,19.841,22.5933,21.5852,21.4889,0.0963,0.034988918,0.069278058,"GLU",22.9166666666667,23.97,5.79240870742918,21744.65,517442.688458535,1648.00268088974,"+1.5°C","Topsoil
(0-30 cm)"
"Plate_001-3","Plate_001","20-30 cm","121(C2)20-30","(C2)","20-30","Pioneer zone","13.09.2022","Spartina anglica","","Plate_001-3","26.06.2023",2025-07-08 11:25:00,2025-07-08 10:20:00,"8",3,217.25,108723.25,1203.25,2655,676929.75,2250701,5,111,"121",2.03,22.07,16.2986,19.0796,18.0146,17.9215,0.0931,0.033477166,0.067958648,"GLU",22.9166666666667,24.1,6.20175307489428,21744.65,361282.320265682,1177.2547386225,"+1.5°C","Topsoil
(0-30 cm)"
"Plate_001-4","Plate_001","40-50 cm","121(C2)40-50","(C2)","40-50","Pioneer zone","13.09.2022","Spartina anglica","","Plate_001-4","26.06.2023",2025-07-08 11:25:00,2025-07-08 10:20:00,"165",4,215.5,75165.5,1117.75,3169.75,693396,2007492.25,5,112,"121",1.99,22.08,22.0391,24.4262,23.4219,23.3383,0.0836,0.035021574,0.069692933,"GLU",22.9166666666667,24.07,9.18275339085086,15033.1,217152.567701985,998.493647516138,"+1.5°C","Subsoil
(40-100 cm)"
"Plate_001-5","Plate_001","60-80 cm","121(C2)60-80","(C2)","60-80","Pioneer zone","13.09.2022","Spartina anglica","","Plate_001-5","26.06.2023",2025-07-08 11:25:00,2025-07-08 10:20:00,"113",5,215.5,75165.5,1117.75,4551.5,1307434.75,2185214,5,113,"121",1.99,22.09,22.0074,25.7654,24.6268,24.5375,0.0893,0.02376264,0.047287653,"GLU",22.9166666666667,24.08,17.3335273496484,15033.1,124688.29374471,845.36380382098,"+1.5°C","Subsoil
(40-100 cm)"
"Plate_001-6","Plate_001","80-100 cm","121(C2)80-100","(C2)","80-100","Pioneer zone","13.09.2022","Spartina anglica","","Plate_001-6","26.06.2023",2025-07-08 11:25:00,2025-07-08 10:20:00,"99",6,215.5,75165.5,1117.75,4671.75,1543371.25,3538831.5,5,114,"121",2.05,22.07,17.9618,21.7462,20.3024,20.1614,0.141,0.037258218,0.076379347,"GLU",22.9166666666667,24.12,20.4708210548722,15033.1,171526.021372269,719.327090131807,"+1.5°C","Subsoil
(40-100 cm)"
"Plate_002-1","Plate_002","0-5 cm","372(G5)0-5","(G5)","0-5","High marsh","15.09.2022","Elymus athericus","Atriplex prostrata","Plate_002-1","26.06.2023",2025-07-08 13:37:00,2025-07-08 11:25:00,"128",1,198.75,66021.5,1094,5076.25,1124756.25,6264643.75,5,499,"372",2.04,22.06,19.0129,20.3261,19.821,19.7221,0.0989,0.075312214,0.153636917,"GLU",21.8,24.1,16.9593238566225,13204.3,367998.987015263,917.813994690836,"+3.0°C","Topsoil
(0-30 cm)"
"Plate_002-2","Plate_002","5-10 cm","372(G5)5-10","(G5)","5-10","High marsh","15.09.2022","Elymus athericus","Atriplex prostrata","Plate_002-2","26.06.2023",2025-07-08 13:37:00,2025-07-08 11:25:00,"110",2,198.75,66021.5,1094,4940,945699.75,6011530,5,500,"372",2.01,22.1,17.0472,19.0983,18.4665,18.3239,0.1426,0.06952367,0.139742577,"GLU",21.8,24.11,14.2492937906591,13204.3,420441.978431263,1154.9620776852,"+3.0°C","Topsoil
(0-30 cm)"
"Plate_002-3","Plate_002","20-30 cm","372(G5)20-30","(G5)","20-30","High marsh","15.09.2022","Elymus athericus","Atriplex prostrata","Plate_002-3","26.06.2023",2025-07-08 13:37:00,2025-07-08 11:25:00,"91",3,198.75,66021.5,1094,5033.25,1425859.25,5676432,5,501,"372",2,22,16.7683,19.6073,18.7391,18.6152,0.1239,0.043642128,0.087284255,"GLU",21.8,24,21.5206561498906,13204.3,262438.798930429,1148.98124783522,"+3.0°C","Topsoil
(0-30 cm)"
"Plate_002-4","Plate_002","40-50 cm","372(G5)40-50","(G5)","40-50","High marsh","15.09.2022","Elymus athericus","Atriplex prostrata","Plate_002-4","26.06.2023",2025-07-08 13:37:00,2025-07-08 11:25:00,"113",4,208,55895,1099.5,4521.75,1203961.5,3748575.25,5,502,"372",2.03,22.01,22.0073,25.7301,24.6098,24.4611,0.1487,0.039943054,0.081084399,"GLU",21.8,24.04,21.4588022184453,11179,173376.850631618,965.571425086247,"+3.0°C","Subsoil
(40-100 cm)"
