plot	zone	treatment	increment	n	mean	sd	se	ci
110	PZ	ambient	0-10 cm	8	0.0624021823758318	0.048852540088751	0.0172719811874718	0.0408417455889501
110	PZ	ambient	10-20 cm	8	0.407223965090488	0.140838992480552	0.0497941033192398	0.117744344294991
110	PZ	ambient	20-30 cm	8	0.743431296286499	0.187828679343278	0.0664074664324727	0.157028705613059
110	PZ	ambient	30-40 cm	8	0.956880568590871	0.0465591581784989	0.0164611482371768	0.0389244303306922
110	PZ	ambient	40-50 cm	8	0.987859584284383	0.016957886191347	0.00599551816024559	0.0141771476425817
110	PZ	ambient	50-60 cm	8	0.994433100585288	0.00759660696527686	0.00268580614957811	0.00635092235636944
110	PZ	ambient	60-70 cm	8	0.992240490617769	0.0078957291727832	0.00279156182024372	0.0066009947799688
110	PZ	ambient	70-80 cm	8	0.864123730064085	0.0844597203274202	0.029861020490319	0.0706100932287174
111	PZ	+1.5°C	0-10 cm	8	0.205167240360615	0.169535750462729	0.0599399394028729	0.141735434351035
111	PZ	+1.5°C	10-20 cm	8	0.70722496733933	0.353733322798721	0.125063615641313	0.295728458537327
111	PZ	+1.5°C	20-30 cm	8	0.928157053242373	0.100477871077339	0.0355242919989871	0.0840016023814683
111	PZ	+1.5°C	30-40 cm	8	0.960568893776143	0.045474765522694	0.0160777575369826	0.0380178553831776
111	PZ	+1.5°C	40-50 cm	8	0.976345084744679	0.0367506507336277	0.0129933171733833	0.0307243128968191
111	PZ	+1.5°C	50-60 cm	8	0.991203698561009	0.0103452553470715	0.00365760010451031	0.00864884990975339
111	PZ	+1.5°C	60-70 cm	8	0.983630384007892	0.0197614499115331	0.00698672761926167	0.0165209855677793
111	PZ	+1.5°C	70-80 cm	8	0.819107083048658	0.103410514278432	0.0365611379461338	0.0864533534532571
112	PZ	+3.0°C	0-10 cm	8	0.242303130177129	0.196214541746106	0.0693723165180412	0.164039462027731
112	PZ	+3.0°C	10-20 cm	8	0.734408289879615	0.253081284166298	0.0894777461126946	0.211581248435939
112	PZ	+3.0°C	20-30 cm	8	0.861766783133374	0.11255426888142	0.039793943388773	0.0940977236036028
112	PZ	+3.0°C	30-40 cm	8	0.955321703922993	0.0563731350822809	0.0199309130467131	0.0471291203466447
112	PZ	+3.0°C	40-50 cm	8	0.947004715939376	0.122492107841883	0.0433075000484146	0.102405964890337
112	PZ	+3.0°C	50-60 cm	8	0.953668839640034	0.11721642098801	0.0414422630735196	0.0979953803045326
112	PZ	+3.0°C	60-70 cm	8	0.981949974670856	0.0241917191566859	0.00855306433212655	0.0202247833451797
112	PZ	+3.0°C	70-80 cm	8	0.830840487510883	0.112085520970536	0.0396282159755464	0.0937058405431337
120	PZ	ambient	0-10 cm	8	0.190299258732846	0.0754069695739431	0.0266603897672314	0.0630418042005115
120	PZ	ambient	10-20 cm	8	0.427400653012408	0.162908661473361	0.0575969096209187	0.136195049306422
120	PZ	ambient	20-30 cm	8	0.812392354934519	0.170666427539048	0.0603396941168718	0.142680704042445
120	PZ	ambient	30-40 cm	8	0.995552285338523	0.00269543107653956	0.000952978796221038	0.00225343677279797
120	PZ	ambient	40-50 cm	8	0.995971572638271	0.00237000712742155	0.000837924055630115	0.00198137554293595
120	PZ	ambient	50-60 cm	8	0.99439021225843	0.00399367796321283	0.00141197838483154	0.00333879833149746
120	PZ	ambient	60-70 cm	8	0.954813698320353	0.0715830586501607	0.0253084330948015	0.059844934665781
120	PZ	ambient	70-80 cm	8	0.787893979227234	0.0954908531429341	0.0337611148993287	0.0798323510517631
121	PZ	+1.5°C	0-10 cm	8	0.0584570105845976	0.0300501804514541	0.0106243431865513	0.0251225795561638
121	PZ	+1.5°C	10-20 cm	8	0.248301439560128	0.195460734488869	0.0691058054063912	0.163409263389804
121	PZ	+1.5°C	20-30 cm	8	0.775310372112811	0.1067428302737	0.0377392895647889	0.0892392393427822
121	PZ	+1.5°C	30-40 cm	8	0.973019899019434	0.0409780674883634	0.0144879347004709	0.0342585217482261
121	PZ	+1.5°C	40-50 cm	8	0.997903017637638	0.00140741634815835	0.000497596821867786	0.00117662951250406
121	PZ	+1.5°C	50-60 cm	8	0.997160712216242	0.00137256318169545	0.000485274366691917	0.00114749153615603
121	PZ	+1.5°C	60-70 cm	8	0.994827074474195	0.00346054990912234	0.00122348915368745	0.00289309212437007
121	PZ	+1.5°C	70-80 cm	8	0.852861127158162	0.0785585730080141	0.0277746498471526	0.0656766106080749
122	PZ	+3.0°C	0-10 cm	8	0.178212042889746	0.139357274076994	0.0492702367537573	0.116505596709653
122	PZ	+3.0°C	10-20 cm	8	0.601214135418651	0.159985877595781	0.0565635494710289	0.133751540835363
122	PZ	+3.0°C	20-30 cm	8	0.96694953434548	0.0519036378582254	0.018350707148901	0.0433925271581683
122	PZ	+3.0°C	30-40 cm	8	0.996165977586353	0.00419503472282281	0.00148316874991052	0.00350713679524296
122	PZ	+3.0°C	40-50 cm	8	0.99807100893581	0.00146278960407658	0.000517174224245868	0.00122292271295046
122	PZ	+3.0°C	50-60 cm	8	0.997911815670599	0.00155436213189691	0.000549550001941942	0.00129947926205478
122	PZ	+3.0°C	60-70 cm	8	0.981660277062969	0.0273491424344792	0.0096693820375285	0.0228644552638555
122	PZ	+3.0°C	70-80 cm	8	0.737956119619908	0.169447465184739	0.0599087258435001	0.141661626011564
130	PZ	ambient	0-10 cm	8	0.212526762953028	0.159065243334667	0.0562380561065156	0.132981871331902
130	PZ	ambient	10-20 cm	8	0.40417259883841	0.261981252900542	0.0926243602348606	0.219021808499618
130	PZ	ambient	20-30 cm	8	0.710856148279435	0.186359718724849	0.0658881104251792	0.155800623803002
130	PZ	ambient	30-40 cm	8	0.8890743168152	0.113804099875653	0.0402358253744526	0.0951426084632828
130	PZ	ambient	40-50 cm	8	0.97942451801824	0.0197131397985744	0.00696964741502519	0.0164805973026195
130	PZ	ambient	50-60 cm	8	0.916389309151548	0.128311690927414	0.0453650333801433	0.107271258105003
130	PZ	ambient	60-70 cm	8	0.844562006085095	0.22470330124136	0.0794446140313844	0.18785666099704
130	PZ	ambient	70-80 cm	8	0.581001008496201	0.342632368491477	0.121138835607166	0.286447828486415
131	PZ	+1.5°C	0-10 cm	8	0.122177208024061	0.13963025079282	0.0493667485971906	0.116733810955201
131	PZ	+1.5°C	10-20 cm	8	0.478885102953102	0.236473819691507	0.0836061207384749	0.197697060679792
131	PZ	+1.5°C	20-30 cm	8	0.956166649348864	0.0863178216444619	0.030517958511025	0.072163504804272
131	PZ	+1.5°C	30-40 cm	8	0.992988207249973	0.00812734083057844	0.00287344890715816	0.00679462697157897
131	PZ	+1.5°C	40-50 cm	8	0.997674184656214	0.000814028288051221	0.000287802461279347	0.000680544679609238
131	PZ	+1.5°C	50-60 cm	8	0.98387348345137	0.0350958881998798	0.01240827026895	0.0293408967982768
131	PZ	+1.5°C	60-70 cm	8	0.960448323866988	0.0702862088794075	0.0248499274612616	0.0587607411252207
131	PZ	+1.5°C	70-80 cm	8	0.812673721299747	0.188325288428699	0.0665830442584227	0.157443881198342
132	PZ	+3.0°C	0-10 cm	8	0.12166997513565	0.119850247454629	0.0423734613510269	0.100197314334568
132	PZ	+3.0°C	10-20 cm	8	0.275146629941816	0.134229881248457	0.0474574296343245	0.112218989031582
132	PZ	+3.0°C	20-30 cm	8	0.830791858358499	0.112838505121784	0.0398944360752833	0.094335351047233
132	PZ	+3.0°C	30-40 cm	8	0.961884430899509	0.0674209979080378	0.0238369224075688	0.0563653648082726
132	PZ	+3.0°C	40-50 cm	8	0.915721920141268	0.125491574242447	0.0443679715643047	0.104913581554934
132	PZ	+3.0°C	50-60 cm	8	0.954400708625157	0.0593969646126792	0.0209999982297614	0.0496571050974994
132	PZ	+3.0°C	60-70 cm	8	0.895877478725125	0.1345175644933	0.0475591410209555	0.112459498243072
132	PZ	+3.0°C	70-80 cm	8	0.785890991860454	0.21442182137555	0.075809561964511	0.179261128723909
240	LM	ambient	0-10 cm	8	0.134267188826378	0.127200420779295	0.044972140051411	0.106342213011594
240	LM	ambient	10-20 cm	8	0.625905944907785	0.334947494503489	0.11842182235243	0.280023113052369
240	LM	ambient	20-30 cm	8	0.879421179542514	0.149012243612671	0.0526837839691709	0.124577353239177
240	LM	ambient	30-40 cm	8	0.952847854231381	0.08562317704406	0.0302723645572956	0.071582767385239
240	LM	ambient	40-50 cm	8	0.988329992654998	0.0204585007241633	0.00723317229748288	0.0171037346305771
240	LM	ambient	50-60 cm	8	0.95097676657547	0.0732625813876402	0.0259022340532158	0.0612490508126666
240	LM	ambient	60-70 cm	8	0.872848273157184	0.120880898742608	0.0427378516084114	0.101058960374223
240	LM	ambient	70-80 cm	8	0.513986010062011	0.201601750101813	0.0712769822980338	0.16854328092228
241	LM	+1.5°C	0-10 cm	8	0.0345656559948403	0.0604664360822817	0.0213781134939822	0.0505512056211732
241	LM	+1.5°C	10-20 cm	8	0.354811464783668	0.246477532334003	0.0871429672617501	0.20606037374289
241	LM	+1.5°C	20-30 cm	8	0.915549725479295	0.109444687081111	0.0386945401999467	0.0914980481610258
241	LM	+1.5°C	30-40 cm	8	0.993982171961887	0.00465622559954267	0.00164622434808551	0.00389270201704552
241	LM	+1.5°C	40-50 cm	8	0.97813876950862	0.0499468825240855	0.0176588896659544	0.0417566387603169
241	LM	+1.5°C	50-60 cm	8	0.948209551707354	0.0952467392689154	0.0336748076114786	0.0796282667458234
241	LM	+1.5°C	60-70 cm	8	0.945664829791652	0.0795117663386181	0.0281116545810786	0.0664735001748177
241	LM	+1.5°C	70-80 cm	8	0.857727668153698	0.0428155187023538	0.0151375718072269	0.035794669405596
242	LM	+3.0°C	0-10 cm	8	0.169764736865693	0.179055019023463	0.0633055090784885	0.149693742026421
242	LM	+3.0°C	10-20 cm	8	0.601682615200833	0.346373027461803	0.122461358269177	0.289575097646289
242	LM	+3.0°C	20-30 cm	8	0.965057814209337	0.0304033543949144	0.0107492090317309	0.0254178403618711
242	LM	+3.0°C	30-40 cm	8	0.9743669003044	0.0259290079180651	0.00916728866415174	0.0216771930966048
242	LM	+3.0°C	40-50 cm	8	0.996086371731421	0.00195402842751817	0.000690853375864692	0.0016336086468644
242	LM	+3.0°C	50-60 cm	8	0.984603687536342	0.0229078160117024	0.00809913602202426	0.0191514134546273
242	LM	+3.0°C	60-70 cm	8	0.961026542886066	0.0628766608124494	0.0222302566194247	0.0525662039214227
242	LM	+3.0°C	70-80 cm	8	0.803360648160918	0.198021935405829	0.070011326674573	0.16555048094088
250	LM	ambient	0-10 cm	8	0.264666299140319	0.21927739575179	0.0775262667485086	0.183320490488975
250	LM	ambient	10-20 cm	8	0.783324922239886	0.230067532397165	0.0813411561444454	0.192341270471751
250	LM	ambient	20-30 cm	8	0.895332992753469	0.124422497794974	0.0439899959614973	0.104019811278025
250	LM	ambient	30-40 cm	8	0.992359166803192	0.00700864539574246	0.00247793034313068	0.00585937418312444
250	LM	ambient	40-50 cm	8	0.976841323265226	0.0215360831311531	0.00761415521111778	0.0180046160676007
250	LM	ambient	50-60 cm	8	0.945505954244567	0.0403722373905231	0.014273741415256	0.0337520351114786
250	LM	ambient	60-70 cm	8	0.784753652886626	0.153493551187411	0.0542681654565114	0.128323820127917
250	LM	ambient	70-80 cm	8	0.482073071012629	0.231709393121512	0.0819216415704202	0.193713900387707
251	LM	+1.5°C	0-10 cm	8	0.520063693544526	0.352854066560309	0.124752751617022	0.294993381926541
251	LM	+1.5°C	10-20 cm	8	0.68560231603622	0.322318383915182	0.113956757483757	0.269464912378969
251	LM	+1.5°C	20-30 cm	8	0.852936903676453	0.212417820043012	0.0751010404986389	0.177585741682933
251	LM	+1.5°C	30-40 cm	8	0.988615459725374	0.0157540506068506	0.00556989800763005	0.0131707159077403
251	LM	+1.5°C	40-50 cm	8	0.960621452533856	0.093957275149016	0.0332189131998398	0.0785502477638967
251	LM	+1.5°C	50-60 cm	8	0.966092301081259	0.0464374676963517	0.0164181241546108	0.0388226945416539
251	LM	+1.5°C	60-70 cm	8	0.984690184158864	0.0235660850149169	0.00833186926003323	0.019701740113375
251	LM	+1.5°C	70-80 cm	8	0.824324611422416	0.11038225720145	0.0390260212949114	0.0922818763971239
252	LM	+3.0°C	0-10 cm	8	0.169454831557497	0.232071651035511	0.0820497190841838	0.194016755582836
252	LM	+3.0°C	10-20 cm	8	0.544524568270097	0.370946206901946	0.131149289177897	0.310118789769211
252	LM	+3.0°C	20-30 cm	8	0.927248243791044	0.0946200597898767	0.0334532429568492	0.0791043495901911
252	LM	+3.0°C	30-40 cm	8	0.995984832106345	0.00240488494905932	0.000850255227726656	0.00201053413152599
252	LM	+3.0°C	40-50 cm	8	0.994477718013532	0.00293268186658088	0.00103685961746108	0.00245178339694569
252	LM	+3.0°C	50-60 cm	8	0.993139581651488	0.0042643835483783	0.00150768726231932	0.0035651138642978
252	LM	+3.0°C	60-70 cm	8	0.990536955193976	0.00622588917809991	0.00220118422837519	0.00520497360863953
252	LM	+3.0°C	70-80 cm	8	0.859473078750617	0.0505049890811473	0.0178562101315159	0.0422232275185192
260	LM	ambient	0-10 cm	8	0.0278094317842345	0.0255633127205894	0.00903799588716054	0.0213714642605757
260	LM	ambient	10-20 cm	8	0.2826696885885	0.137495636127853	0.0486120483447814	0.114949228435671
260	LM	ambient	20-30 cm	8	0.846539192092683	0.200981691122732	0.0710577583436121	0.168024898643125
260	LM	ambient	30-40 cm	8	0.976389705639143	0.0351470202490491	0.0124263481783017	0.0293836442611481
260	LM	ambient	40-50 cm	8	0.947327867584736	0.0706090511582618	0.0249640694435774	0.0590306440247295
260	LM	ambient	50-60 cm	8	0.851413837186898	0.0912731745653797	0.0322699403378017	0.0763062835202182
260	LM	ambient	60-70 cm	8	0.304989403718193	0.0968252327780115	0.034232889343649	0.0809479203440845
260	LM	ambient	70-80 cm	8	0.059033599795919	0.0397753740611285	0.0140627183614277	0.0332530448807511
261	LM	+1.5°C	0-10 cm	8	0.0914530287015713	0.138942461379508	0.0491235783181002	0.116158804615997
261	LM	+1.5°C	10-20 cm	8	0.597593655443	0.388431308505952	0.137331206134861	0.324736700526981
261	LM	+1.5°C	20-30 cm	8	0.772190611881321	0.301621853064348	0.106639428827926	0.252162179582518
