ID_plot_subplot.x	Zone	Treatment	Plot	Subplot	Depth	mean_ri	se_ri	elevation_raw	ID_plot_subplot.y	elevation	elevation_coeff
110A6	PZ	ambient	110	A6	0-10 cm	0.0514580407002633	0.00875849979174275	-0.32	110A6	-0.32	0
110A6	PZ	ambient	110	A6	10-20 cm	0.218007603103179	0.0470318342689085	-0.32	110A6	-0.42	0.1
110A6	PZ	ambient	110	A6	20-30 cm	0.418885909650326	0.0701348746635575	-0.32	110A6	-0.52	0.2
110A6	PZ	ambient	110	A6	30-40 cm	0.592638804577985	0.078479043515857	-0.32	110A6	-0.62	0.3
110A6	PZ	ambient	110	A6	40-50 cm	0.71746228331323	0.0816004078400162	-0.32	110A6	-0.72	0.4
110A6	PZ	ambient	110	A6	50-60 cm	0.720931336607202	0.0812632975695708	-0.32	110A6	-0.82	0.5
110A6	PZ	ambient	110	A6	60-70 cm	0.674281957212236	0.0823546262770728	-0.32	110A6	-0.92	0.6
110A6	PZ	ambient	110	A6	70-80 cm	0.580280970248967	0.0817999068591454	-0.32	110A6	-1.02	0.7
110G6	PZ	ambient	110	G6	0-10 cm	0.09465788172109	0.0183148882922869	-0.34	110G6	-0.34	0
110G6	PZ	ambient	110	G6	10-20 cm	0.316701003940022	0.0484960505541929	-0.34	110G6	-0.44	0.1
110G6	PZ	ambient	110	G6	20-30 cm	0.554734589910503	0.0749785906291904	-0.34	110G6	-0.54	0.2
110G6	PZ	ambient	110	G6	30-40 cm	0.674668414152574	0.0709964105204276	-0.34	110G6	-0.64	0.3
110G6	PZ	ambient	110	G6	40-50 cm	0.646683914538693	0.0764451188425177	-0.34	110G6	-0.74	0.4
110G6	PZ	ambient	110	G6	50-60 cm	0.733701962578518	0.0709459207970991	-0.34	110G6	-0.84	0.5
110G6	PZ	ambient	110	G6	60-70 cm	0.714606679165756	0.0707474597237219	-0.34	110G6	-0.94	0.6
110G6	PZ	ambient	110	G6	70-80 cm	0.640320322614869	0.0684136128624289	-0.34	110G6	-1.04	0.7
111A6	PZ	+1.5°C	111	A6	0-10 cm	0.162400112768647	0.0301415009052851	-0.44	111A6	-0.44	0
111A6	PZ	+1.5°C	111	A6	10-20 cm	0.646976454221519	0.079235154393427	-0.44	111A6	-0.54	0.1
111A6	PZ	+1.5°C	111	A6	20-30 cm	0.84269559350639	0.053502057259853	-0.44	111A6	-0.64	0.2
111A6	PZ	+1.5°C	111	A6	30-40 cm	0.88550807625862	0.0438138637091752	-0.44	111A6	-0.74	0.3
111A6	PZ	+1.5°C	111	A6	40-50 cm	0.873242683833998	0.0554483614502535	-0.44	111A6	-0.84	0.4
111A6	PZ	+1.5°C	111	A6	50-60 cm	0.866091398182187	0.0541059659120554	-0.44	111A6	-0.94	0.5
111A6	PZ	+1.5°C	111	A6	60-70 cm	0.906528676075187	0.030601897931515	-0.44	111A6	-1.04	0.6
111A6	PZ	+1.5°C	111	A6	70-80 cm	0.692623885279289	0.0543363003318232	-0.44	111A6	-1.14	0.7
111G6	PZ	+1.5°C	111	G6	0-10 cm	0.185610470117902	0.0391218711929329	-0.4	111G6	-0.4	0
111G6	PZ	+1.5°C	111	G6	10-20 cm	0.42926233420128	0.0657315379415816	-0.4	111G6	-0.5	0.1
111G6	PZ	+1.5°C	111	G6	20-30 cm	0.654232594349191	0.0682907669157832	-0.4	111G6	-0.6	0.2
111G6	PZ	+1.5°C	111	G6	30-40 cm	0.635804692343209	0.0733388955474402	-0.4	111G6	-0.7	0.3
111G6	PZ	+1.5°C	111	G6	40-50 cm	0.627217579002711	0.0809959558506185	-0.4	111G6	-0.8	0.4
111G6	PZ	+1.5°C	111	G6	50-60 cm	0.660369800235347	0.081353606556401	-0.4	111G6	-0.9	0.5
111G6	PZ	+1.5°C	111	G6	60-70 cm	0.670862508919869	0.082919832933119	-0.4	111G6	-1	0.6
111G6	PZ	+1.5°C	111	G6	70-80 cm	0.588192626288551	0.0654763960562481	-0.4	111G6	-1.1	0.7
112A6	PZ	+3.0°C	112	A6	0-10 cm	0.333043265420663	0.0605642626348862	-0.5	112A6	-0.5	0
112A6	PZ	+3.0°C	112	A6	10-20 cm	0.736671088955705	0.073707437898081	-0.5	112A6	-0.6	0.1
112A6	PZ	+3.0°C	112	A6	20-30 cm	0.699934119008555	0.0661146389612772	-0.5	112A6	-0.7	0.2
112A6	PZ	+3.0°C	112	A6	30-40 cm	0.762407980974367	0.0630264309658076	-0.5	112A6	-0.8	0.3
112A6	PZ	+3.0°C	112	A6	40-50 cm	0.778363796113806	0.0552404653990653	-0.5	112A6	-0.9	0.4
112A6	PZ	+3.0°C	112	A6	50-60 cm	0.720068455186522	0.0631300837366769	-0.5	112A6	-1	0.5
112A6	PZ	+3.0°C	112	A6	60-70 cm	0.793199560869247	0.0610827534579853	-0.5	112A6	-1.1	0.6
112A6	PZ	+3.0°C	112	A6	70-80 cm	0.741060275419136	0.0557769799129583	-0.5	112A6	-1.2	0.7
112G6	PZ	+3.0°C	112	G6	0-10 cm	0.335038273614427	0.0500720204424891	-0.41	112G6	-0.41	0
112G6	PZ	+3.0°C	112	G6	10-20 cm	0.524056299989727	0.0678321591067125	-0.41	112G6	-0.51	0.1
112G6	PZ	+3.0°C	112	G6	20-30 cm	0.588881809034666	0.0798650733373568	-0.41	112G6	-0.61	0.2
112G6	PZ	+3.0°C	112	G6	30-40 cm	0.730227120986944	0.0740012466471874	-0.41	112G6	-0.71	0.3
112G6	PZ	+3.0°C	112	G6	40-50 cm	0.794906045318301	0.0741074576341459	-0.41	112G6	-0.81	0.4
112G6	PZ	+3.0°C	112	G6	50-60 cm	0.781043312445539	0.0739427132601995	-0.41	112G6	-0.91	0.5
112G6	PZ	+3.0°C	112	G6	60-70 cm	0.685228901765502	0.0860554324172528	-0.41	112G6	-1.01	0.6
112G6	PZ	+3.0°C	112	G6	70-80 cm	0.596854795430945	0.0649399704814563	-0.41	112G6	-1.11	0.7
120A6	PZ	ambient	120	A6	0-10 cm	0.293651635204099	0.0405356009661355	-0.38	120A6	-0.38	0
120A6	PZ	ambient	120	A6	10-20 cm	0.333390889482283	0.0504630643010799	-0.38	120A6	-0.48	0.1
120A6	PZ	ambient	120	A6	20-30 cm	0.645177224082369	0.0588387355851209	-0.38	120A6	-0.58	0.2
