"Plate","ID","Depth","Blank","Standard","Sub_ctrl","Hom_ctrl","Quench","Assay","n"
"Plate_001",1,"0-5 cm",210,107662,1147,3981,739840,5970915,5
"Plate_001",1,"0-5 cm",242,159407,1195,4379,872237,5739067,5
"Plate_001",1,"0-5 cm",203,90293,1211,4167,925115,5945471,5
"Plate_001",1,"0-5 cm",214,77531,1260,4271,955879,5939806,5
"Plate_001",2,"5-10 cm",210,107662,1147,6124,652028,3199744,5
"Plate_001",2,"5-10 cm",242,159407,1195,3368,624830,2762723,5
"Plate_001",2,"5-10 cm",203,90293,1211,3340,614243,2933432,5
"Plate_001",2,"5-10 cm",214,77531,1260,3259,644068,3137029,5
"Plate_001",3,"20-30 cm",210,107662,1147,2569,573275,2397029,5
"Plate_001",3,"20-30 cm",242,159407,1195,2554,603844,2167247,5
"Plate_001",3,"20-30 cm",203,90293,1211,2809,656116,2254523,5
"Plate_001",3,"20-30 cm",214,77531,1260,2688,874484,2184005,5
"Plate_001",4,"40-50 cm",214,75312,1020,3187,667077,2494239,5
"Plate_001",4,"40-50 cm",192,80876,1170,3217,684298,1723489,5
"Plate_001",4,"40-50 cm",250,72853,994,3070,717165,1752097,5
"Plate_001",4,"40-50 cm",206,71621,1287,3205,705044,2060144,5
"Plate_001",5,"60-80 cm",214,75312,1020,4506,1377895,2320504,5
"Plate_001",5,"60-80 cm",192,80876,1170,4333,1372208,1974028,5
"Plate_001",5,"60-80 cm",250,72853,994,4705,1255033,2018438,5
"Plate_001",5,"60-80 cm",206,71621,1287,4662,1224603,2427886,5
"Plate_001",6,"80-100 cm",214,75312,1020,4954,1520790,3755034,5
"Plate_001",6,"80-100 cm",192,80876,1170,6089,1569193,3536796,5
"Plate_001",6,"80-100 cm",250,72853,994,3908,1567531,3426763,5
"Plate_001",6,"80-100 cm",206,71621,1287,3736,1515971,3436733,5
"Plate_002",1,"0-5 cm",207,78038,967,4776,907002,6342520,5
"Plate_002",1,"0-5 cm",207,60218,1059,4927,1083370,6098938,5
"Plate_002",1,"0-5 cm",196,62384,1181,5153,1197913,6276479,5
"Plate_002",1,"0-5 cm",185,63446,1169,5449,1310740,6340638,5
"Plate_002",2,"5-10 cm",207,78038,967,4709,966712,6044027,5
"Plate_002",2,"5-10 cm",207,60218,1059,4784,816529,7111212,5
"Plate_002",2,"5-10 cm",196,62384,1181,5221,955012,5389295,5
"Plate_002",2,"5-10 cm",185,63446,1169,5046,1044546,5501586,5
"Plate_002",3,"20-30 cm",207,78038,967,5049,1614669,6811885,5
"Plate_002",3,"20-30 cm",207,60218,1059,4992,1214093,5254895,5
"Plate_002",3,"20-30 cm",196,62384,1181,5247,1414060,5317903,5
"Plate_002",3,"20-30 cm",185,63446,1169,4845,1460615,5321045,5
"Plate_002",4,"40-50 cm",201,57204,1043,4548,1235870,3749891,5
"Plate_002",4,"40-50 cm",190,56381,1041,4550,1143212,3769074,5
"Plate_002",4,"40-50 cm",195,55124,1430,4534,1228147,3662864,5
"Plate_002",4,"40-50 cm",246,54871,884,4455,1208617,3812472,5
"Plate_002",5,"60-80 cm",201,57204,1043,4639,1471844,3586125,5
"Plate_002",5,"60-80 cm",190,56381,1041,4546,1481405,3372006,5
"Plate_002",5,"60-80 cm",195,55124,1430,4548,1341474,4060222,5
"Plate_002",5,"60-80 cm",246,54871,884,4432,1389274,3936050,5
"Plate_002",6,"80-100 cm",201,57204,1043,5276,1442488,2825143,5
"Plate_002",6,"80-100 cm",190,56381,1041,5449,1495880,2417774,5
"Plate_002",6,"80-100 cm",195,55124,1430,5499,1432565,2535046,5
"Plate_002",6,"80-100 cm",246,54871,884,5579,1364933,2482623,5
