ID_wp	East	North	Elevation	Longitude	Latitude	Plot	Subplot	ID_plot_subplot
3	48815477	605054703	-32	881663657	5460224935	110	A6	110A6
4	48815426	605054912	-34	881662855	5460226804	110	G6	110G6
6	48815934	605055126	-44	881670714	5460228742	111	A6	111A6
7	4881588	605055345	-4	88166987	5460230707	111	G6	111G6
9	48816602	605055798	-5	88168102	5460234794	112	A6	112A6
10	4881652	605056013	-41	881679747	5460236725	112	G6	112G6
11	48816604	605054633	-3	881681105	5460224326	122	A6	122A6
12	48816574	605054849	-35	881680634	5460226272	122	G6	122G6
24	48817118	605055243	-38	881689029	5460229822	120	A6	120A6
29	48817083	605055472	-42	881688477	5460231876	120	G6	120G6
34	48817531	605055665	-39	881695405	5460233621	121	A6	121A6
39	48817497	605055874	-39	881694878	5460235506	121	G6	121G6
44	48818339	605053525	-24	881708007	5460214409	130	A6	130A6
49	48818264	605053735	-34	881706834	5460216293	130	G6	130G6
56	48818723	605053817	-37	881713938	5460217048	131	A6	131A6
60	48818682	605054035	-4	881713292	5460219005	131	G6	131G6
67	48819357	605054459	-47	881723733	5460222827	132	A6	132A6
71	48819243	605054646	-45	881721949	5460224503	132	G6	132G6
75	48818492	605051109	-8	881710465	5460192704	240	A6	240A6
76	48818558	605050885	0	881711498	5460190694	240	G6	240G6
77	48819097	605051272	-1	881719824	5460194181	241	G6	241G6
78	48819062	605051479	-4	881719282	5460196037	241	A6	241A6
79	48819194	605051824	-5	881721315	5460199143	242	G6	242G6
80	4881917	605052051	-15	881720934	5460201182	242	A6	242A6
83	48820035	605051135	-7	881734348	5460192975	250	A6	250A6
88	48820074	605050925	-5	88173497	5460191088	250	G6	250G6
94	48820543	605051624	-29	881742205	5460197378	251	A6	251A6
99	48820575	60505144	-11	881742699	5460195729	251	G6	251G6
103	48820768	605052226	-18	881745656	5460202796	252	A6	252A6
108	48820786	605052046	-13	881745937	5460201178	252	G6	252G6
111	48820245	605049554	-1	881737665	5460178768	262	G6	262G6
112	48820222	60504978	-1	881737298	5460180795	262	A6	262A6
113	48820705	605050155	-2	881744765	5460184181	260	G6	260G6
114	48820644	60505037	1	881743817	546018611	260	A6	260A6
116	48821303	605049794	-7	881754031	5460180951	261	G6	261G6
117	48821243	605050015	-1	881753106	5460182933	261	A6	261A6
121	48826436	605047675	22	881833581	5460162025	370	A6	370A6
125	48826474	605047475	27	881834178	546016023	370	G6	370G6
134	48826783	605047777	33	881838946	5460162953	371	G6	371G6
140	48827032	605048289	43	881842781	5460167558	372	A6	372A6
144	48827067	605048095	36	881843323	5460165816	372	G6	372G6
147	4882688	60504668	27	881840487	5460153096	380	A6	380A6
148	48826917	605046468	22	881841073	5460151187	380	G6	380G6
149	48827212	605046803	27	881845629	5460154211	381	G6	381G6
150	48827162	605046984	25	88184485	5460155832	381	A6	381A6
151	48827509	605047104	22	881850209	5460156916	382	G6	382G6
152	48827472	605047297	3	881849638	5460158649	382	A6	382A6
154	48827701	605046497	25	881853205	5460151469	392	A6	392A6
155	48827734	605046323	26	881853731	5460149903	392	G6	392G6
156	48828038	60504661	26	881858414	5460152489	391	G6	391G6
157	48828024	605046804	21	881858199	5460154237	391	A6	391A6
158	4882835	605046907	27	881863241	5460155165	390	G6	390G6
159	4882834	60504714	24	881863075	546015726	390	A6	390A6
130	48826736	605047971	36	881838206	5460164693	371	A6	371A6
