Zone	Depth	Treatment	Pre soil_1	Post LOI_1	OM
PZ	5	ambient	37.43	35.285	5.730697302
PZ	10	ambient	29.56	28.54	3.450608931
PZ	15	ambient	31.93	30.955	3.053554651
PZ	20	ambient	38.75	37.505	3.212903226
PZ	25	ambient	38.4	37.305	2.8515625
PZ	30	ambient	36.62	35.585	2.826324413
PZ	35	ambient	33.33	32.4	2.790279028
PZ	40	ambient	28.84	28.045	2.756588072
PZ	45	ambient	34.24	33.31	2.716121495
PZ	50	ambient	31.66	30.865	2.511054959
PZ	55	ambient	29.56	28.78	2.638700947
PZ	5	+1.5C	30.02	28.355	5.546302465
PZ	10	+1.5C	32.87	31.55	4.015819897
PZ	15	+1.5C	35.15	33.65	4.26742532
PZ	20	+1.5C	30.9	29.88	3.300970874
PZ	25	+1.5C	35.05	33.88	3.338088445
PZ	30	+1.5C	35.01	33.945	3.041988003
PZ	35	+1.5C	32.65	31.675	2.986217458
PZ	40	+1.5C	37.63	36.46	3.109221366
PZ	45	+1.5C	32.07	31.005	3.320860617
PZ	50	+1.5C	29.18	28.37	2.775873886
PZ	55	+1.5C	29.85	29.01	2.814070352
PZ	5	+3.0C	33.89	32.045	5.444083801
PZ	10	+3.0C	29.55	28.44	3.756345178
PZ	15	+3.0C	27.73	26.77	3.461954562
PZ	20	+3.0C	32.29	31.12	3.623412821
PZ	25	+3.0C	33.09	31.905	3.581142339
PZ	30	+3.0C	34.87	33.745	3.226268999
PZ	35	+3.0C	33.47	32.51	2.868240215
PZ	40	+3.0C	31.29	30.345	3.020134228
PZ	45	+3.0C	33.09	32.115	2.946509519
PZ	50	+3.0C	34.74	33.72	2.936096718
PZ	55	+3.0C	33.41	32.42	2.963184675
LM	5	ambient	31.15	29.026	6.818619583
LM	10	ambient	37.47	34.95	6.725380304
LM	15	ambient	34.38	32.058	6.753926702
LM	20	ambient	33.69	32.394	3.846838825
LM	25	ambient	35.85	34.5	3.765690377
LM	30	ambient	31.79	30.62	3.680402642
LM	35	ambient	31.85	30.68	3.673469388
LM	40	ambient	39.66	38.256	3.540090772
LM	45	ambient	34.61	33.458	3.328517769
LM	50	ambient	34.05	32.988	3.118942731
LM	55	ambient	36.61	35.458	3.146681235
LM	5	+1.5C	24.54	22.956	6.454767726
LM	10	+1.5C	30.7	28.81	6.156351792
LM	15	+1.5C	33.33	31.512	5.454545455
LM	20	+1.5C	31.45	30.172	4.063593005
LM	25	+1.5C	38.02	36.526	3.929510784
LM	30	+1.5C	37.34	35.756	4.242099625
LM	35	+1.5C	33.36	31.938	4.262589928
LM	40	+1.5C	33.09	31.65	4.351767906
LM	45	+1.5C	31.74	30.48	3.969754253
LM	50	+1.5C	37.75	36.238	4.005298013
LM	55	+1.5C	31	29.758	4.006451613
LM	5	+3.0C	35.82	33.264	7.135678392
LM	10	+3.0C	35.78	33.566	6.187814421
LM	15	+3.0C	28.76	27.338	4.944367177
LM	20	+3.0C	29.59	28.294	4.37985806
LM	25	+3.0C	27.77	26.456	4.731724883
LM	30	+3.0C	28.01	26.84	4.177079614
LM	35	+3.0C	33.14	31.898	3.747736874
LM	40	+3.0C	32.18	30.902	3.971410814
LM	45	+3.0C	33.79	32.386	4.155075466
LM	50	+3.0C	31.8	30.648	3.622641509
LM	55	+3.0C	33.56	32.246	3.915375447
HM	5	ambient	25.64	23.088	9.953198128
HM	10	ambient	31.61	28.71	9.174311927
HM	15	ambient	30.06	27.856	7.332002661
HM	20	ambient	31.8	29.683	6.657232704
HM	25	ambient	33.14	30.733	7.263126132
HM	30	ambient	31.56	29.414	6.799746515
HM	35	ambient	32.47	30.382	6.430551278
HM	40	ambient	34.02	31.932	6.137566138
HM	45	ambient	30.81	29.534	4.141512496
HM	50	ambient	31.77	30.32	4.564054139
HM	55	ambient	35.93	34.306	4.519899805
HM	5	+1.5C	22.16	19.927	10.0767148
HM	10	+1.5C	28.53	25.949	9.046617596
HM	15	+1.5C	30.42	28.303	6.959237344
HM	20	+1.5C	30.44	28.207	7.335742444
HM	25	+1.5C	34.89	32.396	7.148179994
HM	30	+1.5C	27.68	25.766	6.914739884
HM	35	+1.5C	35.09	32.596	7.107438017
HM	40	+1.5C	39.25	36.611	6.723566879
HM	45	+1.5C	33.09	31.263	5.52130553
HM	50	+1.5C	33.32	31.58	5.222088836
HM	55	+1.5C	33.42	32.144	3.81807301
HM	5	+3.0C	25.82	23.239	9.996127033
HM	10	+3.0C	29.55	26.766	9.421319797
HM	15	+3.0C	28.43	26.458	6.936334858
HM	20	+3.0C	22.91	21.402	6.582278481
HM	25	+3.0C	25.52	23.693	7.159090909
HM	30	+3.0C	27.19	25.363	6.719382126
HM	35	+3.0C	33.41	31.119	6.857228375
HM	40	+3.0C	37.24	35.21	5.45112782
HM	45	+3.0C	37.91	35.967	5.125296755
HM	50	+3.0C	42.43	40.545	4.44261136
HM	55	+3.0C	38.37	36.456	4.988272088
PZ	5	ambient	36.18	34.32	5.140961857
PZ	10	ambient	32.04	30.93	3.464419476
PZ	15	ambient	29.57	28.55	3.449442002
PZ	20	ambient	35.12	34.12	2.861617312
PZ	25	ambient	40.97	39.64	3.258481816
PZ	30	ambient	40.57	39.52	2.5881193
PZ	35	ambient	27.37	26.67	2.575812934
PZ	40	ambient	27.05	26.32	2.717190388
PZ	45	ambient	31.44	30.71	2.33778626
PZ	50	ambient	30.47	29.77	2.313751231
PZ	55	ambient	25.27	24.63	2.552433716
PZ	5	+1.5C	32.48	30.91	4.849137931
PZ	10	+1.5C	34.18	32.98	3.510825044
PZ	15	+1.5C	42.1	40.24	4.418052257
PZ	20	+1.5C	37.23	36.05	3.182917002
PZ	25	+1.5C	35.46	34.38	3.045685279
PZ	30	+1.5C	38.16	36.98	3.105345912
PZ	35	+1.5C	25.89	25.04	3.302433372
PZ	40	+1.5C	35.64	34.46	3.324915825
PZ	45	+1.5C	25.5	24.62	3.470588235
PZ	50	+1.5C	30.16	29.38	2.586206897
PZ	55	+1.5C	28.9	28	3.114186851
PZ	5	+3.0C	41.52	39.59	4.660404624
PZ	10	+3.0C	25.08	24.09	3.947368421
PZ	15	+3.0C	28.3	27.18	3.975265018
PZ	20	+3.0C	36	34.55	4.041666667
PZ	25	+3.0C	27.6	26.72	3.206521739
PZ	30	+3.0C	37.98	36.92	2.804107425
PZ	35	+3.0C	41.16	39.98	2.879008746
PZ	40	+3.0C	38.45	37.42	2.691807542
PZ	45	+3.0C	40.18	38.83	3.359880538
PZ	50	+3.0C	32.26	31.27	3.068815871
PZ	55	+3.0C	33.45	32.42	3.094170404
LM	5	ambient	27.76	25.6	7.780979827
LM	10	ambient	46.51	43.234	7.043646528
LM	15	ambient	35.47	32.842	7.409078094
LM	20	ambient	36.3	34.716	4.363636364
LM	25	ambient	34.18	33.028	3.370392042
LM	30	ambient	38.81	37.442	3.524864726
LM	35	ambient	30.56	29.282	4.181937173
LM	40	ambient	30.47	29.462	3.308171972
LM	45	ambient	30.55	29.47	3.535188216
LM	50	ambient	32.6	31.448	3.533742331
LM	55	ambient	28.52	27.53	3.471248247
LM	5	+1.5C	30.02	27.932	6.955363091
LM	10	+1.5C	30.53	28.766	5.777923354
LM	15	+1.5C	32.44	30.424	6.214549938
LM	20	+1.5C	30.28	28.912	4.517833554
LM	25	+1.5C	41.01	39.48	3.730797366
LM	30	+1.5C	44.62	42.964	3.711340206
LM	35	+1.5C	27.66	26.526	4.09978308
LM	40	+1.5C	33.68	32.114	4.649643705
LM	45	+1.5C	37.97	36.512	3.839873584
LM	50	+1.5C	32.1	30.804	4.037383178
LM	55	+1.5C	34.85	33.446	4.028694405
LM	5	+3.0C	35.28	32.796	7.040816327
LM	10	+3.0C	31.22	29.006	7.091607944
LM	15	+3.0C	31.68	30.222	4.602272727
LM	20	+3.0C	28.17	27.036	4.025559105
LM	25	+3.0C	28.12	26.626	5.312944523
LM	30	+3.0C	25.08	24.072	4.019138756
LM	35	+3.0C	33.92	32.57	3.97995283
LM	40	+3.0C	38.93	37.31	4.161315181
LM	45	+3.0C	32.15	30.998	3.583203733
LM	50	+3.0C	24.83	23.858	3.914619412
LM	55	+3.0C	41.08	39.514	3.812074002
HM	5	ambient	24.09	21.364	11.31589871
