ID	Zone	Depth	Treatment	Subplot	Year	Tray	FW	DW	Muffle	OM_1	OM/FW	OM
110-05-A	PZ	5	ambient	A	2021	19.886	26.166	23.317	23.095	0.222	0.035350318	3.5350318
110-05-A2	PZ	5	ambient	A2	2021	21.408	26.947	24.309	24.031	0.278	0.050189565	5.0189565
110-10-A	PZ	10	ambient	A	2021	21.45	27.663	24.435	24.089	0.346	0.055689683	5.5689683
110-10-A2	PZ	10	ambient	A2	2021	21.364	27.053	24.606	24.373	0.233	0.040956231	4.0956231
110-30-A	PZ	30	ambient	A	2021	21.365	29.866	26.994	26.775	0.219	0.025761675	2.5761675
110-30-A2	PZ	30	ambient	A2	2021	19.897	25.979	23.913	23.729	0.184	0.030253206	3.0253206
110-50-A	PZ	50	ambient	A	2021	20.083	25.393	23.195	23.001	0.194	0.03653484	3.653484
110-50-A2	PZ	50	ambient	A2	2021	20.031	26.385	23.89	23.634	0.256	0.040289581	4.0289581
111-05-A	PZ	5	+1.5C	A	2021	17.771	18.976	18.61	18.531	0.079	0.065560166	6.5560166
111-05-A2	PZ	5	+1.5C	A2	2021	18.922	22.175	20.355	20.207	0.148	0.045496465	4.5496465
111-10-A	PZ	10	+1.5C	A	2021	19.118	21.007	20.729	20.626	0.103	0.054526204	5.4526204
111-10-A2	PZ	10	+1.5C	A2	2021	20.425	24.965	22.937	22.78	0.157	0.034581498	3.4581498
111-30-A	PZ	30	+1.5C	A	2021	19.495	22.552	21.384	21.29	0.094	0.0307491	3.07491
111-30-A2	PZ	30	+1.5C	A2	2021	19.393	28.156	24.764	24.511	0.253	0.028871391	2.8871391
111-50-A	PZ	50	+1.5C	A	2021	22.059	26.604	24.652	24.498	0.154	0.033883388	3.3883388
111-50-A2	PZ	50	+1.5C	A2	2021	19.564	29.21	25.798	25.525	0.273	0.028301887	2.8301887
112-05-A	PZ	5	+3.0C	A	2021	20.034	22.766	21.271	21.142	0.129	0.047218155	4.7218155
112-05-A2	PZ	5	+3.0C	A2	2021	19.062	22.208	20.45	20.275	0.175	0.055626192	5.5626192
112-10-A	PZ	10	+3.0C	A	2021	18.923	23.341	20.952	20.743	0.209	0.047306474	4.7306474
112-10-A2	PZ	10	+3.0C	A2	2021	NA	NA	NA	NA	NA	NA	#WERT!
112-30-A	PZ	30	+3.0C	A	2021	20.126	25.997	23.18	22.966	0.214	0.036450349	3.6450349
112-30-A2	PZ	30	+3.0C	A2	2021	19.1	25.823	22.894	22.677	0.217	0.032277257	3.2277257
112-50-A	PZ	50	+3.0C	A	2021	19.396	28.35	24.795	24.48	0.315	0.035179808	3.5179808
112-50-A2	PZ	50	+3.0C	A2	2021	20.12	25.38	22.759	22.602	0.157	0.029847909	2.9847909
120-05-A	PZ	5	ambient	A	2021	19.959	21.369	21.248	21.049	0.199	0.141134752	14.1134752
120-05-A2	PZ	5	ambient	A2	2021	18.922	22.119	20.598	20.418	0.18	0.056302784	5.6302784
120-10-A	PZ	10	ambient	A	2021	22.516	26.573	24.724	24.504	0.22	0.054227262	5.4227262
120-10-A2	PZ	10	ambient	A2	2021	20.425	24.119	22.52	22.36	0.16	0.043313481	4.3313481
120-30-A	PZ	30	ambient	A	2021	19.619	26.369	26.11	25.874	0.236	0.034962963	3.4962963
120-30-A2	PZ	30	ambient	A2	2021	19.393	26.162	23.59	23.355	0.235	0.034717093	3.4717093
120-50-A	PZ	50	ambient	A	2021	19.907	26.216	25.724	25.274	0.45	0.071326676	7.1326676
120-50-A2	PZ	50	ambient	A2	2021	19.564	26.673	23.722	23.476	0.246	0.034604023	3.4604023
121-05-A	PZ	5	+1.5C	A	2021	20.308	22.45	22.293	22.108	0.185	0.08636788	8.636788
121-05-A2	PZ	5	+1.5C	A2	2021	22.516	23.373	23.058	23.032	0.026	0.03033839	3.033839
121-10-A	PZ	10	+1.5C	A	2021	20.225	22.649	22.458	22.069	0.389	0.160478548	16.0478548
121-10-A2	PZ	10	+1.5C	A2	2021	19.624	22.332	21.236	21.117	0.119	0.04394387	4.394387
121-30-A	PZ	30	+1.5C	A	2021	20.036	28.325	27.91	27.521	0.389	0.046929666	4.6929666
121-30-A2	PZ	30	+1.5C	A2	2021	19.795	28.67	25.369	25.119	0.25	0.028169014	2.8169014
121-50-A	PZ	50	+1.5C	A	2021	17.774	27.528	27.035	26.529	0.506	0.051876153	5.1876153
121-50-A2	PZ	50	+1.5C	A2	2021	20.478	24.976	23.195	23.04	0.155	0.03445976	3.445976
122-05-A	PZ	5	+3.0C	A	2021	19.116	20.301	20.204	19.991	0.213	0.179746835	17.9746835
122-05-A2	PZ	5	+3.0C	A2	2021	20.203	24.464	22.449	22.211	0.238	0.055855433	5.5855433
122-10-A	PZ	10	+3.0C	A	2021	19.496	23.356	23.185	22.932	0.253	0.065544041	6.5544041
122-10-A2	PZ	10	+3.0C	A2	2021	NA	NA	NA	NA	#WERT!	#WERT!	#WERT!
122-30-A	PZ	30	+3.0C	A	2021	20.805	31.666	30.571	29.998	0.573	0.052757573	5.2757573
122-30-A2	PZ	30	+3.0C	A2	2021	19.949	30.786	26.951	26.587	0.364	0.033588632	3.3588632
122-50-A	PZ	50	+3.0C	A	2021	22.057	32.888	32.255	31.701	0.554	0.051149478	5.1149478
122-50-A2	PZ	50	+3.0C	A2	2021	20.121	31.489	28.26	27.963	0.297	0.026125968	2.6125968
130-05-A	PZ	5	ambient	A	2021	20.124	24.453	22.942	22.761	0.181	0.041811042	4.1811042
130-05-A2	PZ	5	ambient	A2	2021	19.244	23.11	22.154	21.874	0.28	0.07242628	7.242628
130-10-A	PZ	10	ambient	A	2021	19.393	22.809	22.229	22.124	0.105	0.030737705	3.0737705
130-10-A2	PZ	10	ambient	A2	2021	21.89	23.67	23.557	23.49	0.067	0.037640449	3.7640449
130-30-A	PZ	30	ambient	A	2021	19.563	30.283	26.972	26.645	0.327	0.030503731	3.0503731
130-30-A2	PZ	30	ambient	A2	2021	20.231	25.868	25.476	25.273	0.203	0.036012063	3.6012063
130-50-A	PZ	50	ambient	A	2021	19.064	29.637	26.147	25.74	0.407	0.038494278	3.8494278
130-50-A2	PZ	50	ambient	A2	2021	19.587	27.749	26.751	26.427	0.324	0.039696153	3.9696153
131-05-A	PZ	5	+1.5C	A	2021	18.658	19.517	19.268	19.097	0.171	0.199068685	19.9068685
131-05-A2	PZ	5	+1.5C	A2	2021	21.153	22.477	22.306	22.177	0.129	0.097432024	9.7432024
131-10-A	PZ	10	+1.5C	A	2021	19.991	22.046	21.593	21.409	0.184	0.089537713	8.9537713
131-10-A2	PZ	10	+1.5C	A2	2021	19.1	21.718	20.575	20.426	0.149	0.056913675	5.6913675
