ID	Zone	Depth	Treatment	Year	OM	OM2
110(A2)0-5	PZ	5	ambient	2022	4.9214198	0.049214198
110(A2)5-10	PZ	10	ambient	2022	3.9626114	0.039626114
110(A2)20-30	PZ	20	ambient	2022	2.9779888	0.029779888
110(A2)40-50	PZ	40	ambient	2022	3.8374192	0.038374192
110(A2)60-80	PZ	60	ambient	2022	3.1555291	0.031555291
110(A2)80-100	PZ	80	ambient	2022	3.480433	0.03480433
110(A6)0-5	PZ	5	ambient	2022	5.0587223	0.050587223
110(A6)5-10	PZ	10	ambient	2022	4.3033869	0.043033869
110(A6)20-30	PZ	20	ambient	2022	2.7147239	0.027147239
110(A6)40-50	PZ	40	ambient	2022	3.4939759	0.034939759
110(A6)60-80	PZ	60	ambient	2022	3.5941695	0.035941695
110(A6)80-100	PZ	80	ambient	2022	2.45497	0.0245497
110(C2)0-5	PZ	5	ambient	2022	5.0303229	0.050303229
110(C2)5-10	PZ	10	ambient	2022	4.7947093	0.047947093
110(C2)20-30	PZ	20	ambient	2022	59.5874714	0.595874714
110(C2)40-50	PZ	40	ambient	2022	2.9839502	0.029839502
110(C2)60-80	PZ	60	ambient	2022	3.6957281	0.036957281
110(C2)80-100	PZ	80	ambient	2022	3.2545279	0.032545279
110(G5)0-5	PZ	5	ambient	2022	4.2014319	0.042014319
110(G5)5-10	PZ	10	ambient	2022	3.4144984	0.034144984
110(G5)20-30	PZ	20	ambient	2022	3.346117	0.03346117
110(G5)40-50	PZ	40	ambient	2022	3.1701193	0.031701193
110(G5)60-80	PZ	60	ambient	2022	3.1072955	0.031072955
110(G5)80-100	PZ	80	ambient	2022	2.6988548	0.026988548
111(A2)0-5	PZ	5	+1.5C	2022	4.4328553	0.044328553
111(A2)5-10	PZ	10	+1.5C	2022	3.7252706	0.037252706
111(A2)20-30	PZ	20	+1.5C	2022	3.1490638	0.031490638
111(A2)40-50	PZ	40	+1.5C	2022	4.1031603	0.041031603
111(A2)60-80	PZ	60	+1.5C	2022	3.0507924	0.030507924
111(A2)80-100	PZ	80	+1.5C	2022	2.7970744	0.027970744
111(A6)0-5	PZ	5	+1.5C	2022	4.9230294	0.049230294
111(A6)5-10	PZ	10	+1.5C	2022	5.0967512	0.050967512
111(A6)20-30	PZ	20	+1.5C	2022	3.9054075	0.039054075
111(A6)40-50	PZ	40	+1.5C	2022	3.7831939	0.037831939
111(A6)60-80	PZ	60	+1.5C	2022	3.8728521	0.038728521
111(A6)80-100	PZ	80	+1.5C	2022	3.5412506	0.035412506
111(C2)0-5	PZ	5	+1.5C	2022	4.5740663	0.045740663
111(C2)5-10	PZ	10	+1.5C	2022	4.0814706	0.040814706
111(C2)20-30	PZ	20	+1.5C	2022	2.6480243	0.026480243
111(C2)40-50	PZ	40	+1.5C	2022	4.4410366	0.044410366
111(C2)60-80	PZ	60	+1.5C	2022	3.4903445	0.034903445
111(C2)80-100	PZ	80	+1.5C	2022	3.3766407	0.033766407
111(G5)0-5	PZ	5	+1.5C	2022	5.5211063	0.055211063
111(G5)5-10	PZ	10	+1.5C	2022	4.896453	0.04896453
111(G5)20-30	PZ	20	+1.5C	2022	3.896843	0.03896843
111(G5)40-50	PZ	40	+1.5C	2022	3.84977	0.0384977
111(G5)60-80	PZ	60	+1.5C	2022	3.3446073	0.033446073
111(G5)80-100	PZ	80	+1.5C	2022	3.6349833	0.036349833
112(A2)0-5	PZ	5	+3.0C	2022	3.9713483	0.039713483
112(A2)5-10	PZ	10	+3.0C	2022	3.8127434	0.038127434
112(A2)20-30	PZ	20	+3.0C	2022	3.2561931	0.032561931
