Year	Depth	Zone	Treatment	Plot	OM	Conductivity	pH
2024	10	PZ	ambient	110	6.838	10.41	7.371
2024	20	PZ	ambient	110	5.018	7.67	7.428
2024	30	PZ	ambient	110			
2024	40	PZ	ambient	110	4.311	7.74	7.460
2024	50	PZ	ambient	110			
2024	60	PZ	ambient	110	7.075		
2024	70	PZ	ambient	110			
2024	80	PZ	ambient	110	8.35	12.65	6.947
2024	90	PZ	ambient	110			
2024	100	PZ	ambient	110	4.912		
2024	10	PZ	+1.5C	111	6.777	8.15	7.493
2024	20	PZ	+1.5C	111	4.659	8.17	7.069
2024	30	PZ	+1.5C	111			
2024	40	PZ	+1.5C	111	5.865	8.19	7.043
2024	50	PZ	+1.5C	111			
2024	60	PZ	+1.5C	111	7.634		
2024	70	PZ	+1.5C	111			
2024	80	PZ	+1.5C	111	4.507	6.37	7.646
2024	90	PZ	+1.5C	111			
2024	100	PZ	+1.5C	111	5.158		
2024	10	PZ	+3.0C	112	7.909	10.09	7.597
2024	20	PZ	+3.0C	112	6.516	11.23	7.456
2024	30	PZ	+3.0C	112			
2024	40	PZ	+3.0C	112	7.448	11.2	7.128
2024	50	PZ	+3.0C	112			
2024	60	PZ	+3.0C	112	8.149		
2024	70	PZ	+3.0C	112			
2024	80	PZ	+3.0C	112	5.921	8.95	7.705
2024	90	PZ	+3.0C	112			
2024	100	PZ	+3.0C	112	5.2		
2024	10	PZ	ambient	120	8.002	10.39	7.561
2024	20	PZ	ambient	120	5.274	5.5	7.272
2024	30	PZ	ambient	120			
2024	40	PZ	ambient	120	6.486	8.04	7.357
2024	50	PZ	ambient	120			
2024	60	PZ	ambient	120	6.586		
2024	70	PZ	ambient	120			
2024	80	PZ	ambient	120	4.006	5.81	7.706
2024	90	PZ	ambient	120			
2024	100	PZ	ambient	120	6.212		
2024	10	PZ	+1.5C	121	7.452	5.49	7.588
2024	20	PZ	+1.5C	121	5.589	3.81	7.465
2024	30	PZ	+1.5C	121			
2024	40	PZ	+1.5C	121	5.377	3.57	7.478
2024	50	PZ	+1.5C	121			
2024	60	PZ	+1.5C	121	7.161		
2024	70	PZ	+1.5C	121			
2024	80	PZ	+1.5C	121	4.571	7.13	7.743
2024	90	PZ	+1.5C	121			
2024	100	PZ	+1.5C	121	6.036		
2024	10	PZ	+3.0C	122	7.078	9.39	7.478
2024	20	PZ	+3.0C	122	5.118	8.77	7.298
2024	30	PZ	+3.0C	122			
2024	40	PZ	+3.0C	122	5.53	7.99	7.616
2024	50	PZ	+3.0C	122			
2024	60	PZ	+3.0C	122	6.486		
2024	70	PZ	+3.0C	122			
2024	80	PZ	+3.0C	122	5.018	8.25	7.601
2024	90	PZ	+3.0C	122			
2024	100	PZ	+3.0C	122	5.165		
2024	10	PZ	ambient	130	5.065	4.76	7.513
2024	20	PZ	ambient	130	4.06	5.74	7.609
2024	30	PZ	ambient	130			
2024	40	PZ	ambient	130	5.258	6.81	7.681
2024	50	PZ	ambient	130			
2024	60	PZ	ambient	130	6.169		
2024	70	PZ	ambient	130			
2024	80	PZ	ambient	130	3.459	7.25	7.745
2024	90	PZ	ambient	130			
2024	100	PZ	ambient	130	3.95		
2024	10	PZ	+1.5C	131	6.754	9.77	7.555
2024	20	PZ	+1.5C	131	4.315	5.83	7.614
2024	30	PZ	+1.5C	131			
2024	40	PZ	+1.5C	131	5.427	8.1	7.669
2024	50	PZ	+1.5C	131			
2024	60	PZ	+1.5C	131	7.77		
2024	70	PZ	+1.5C	131			
2024	80	PZ	+1.5C	131	4.468	3.86	7.741
2024	90	PZ	+1.5C	131			
2024	100	PZ	+1.5C	131	4.564		
2024	10	PZ	+3.0C	132	8.468	10.97	7.622
2024	20	PZ	+3.0C	132	4.97	7.22	7.484
2024	30	PZ	+3.0C	132			
2024	40	PZ	+3.0C	132	5.374	8.27	7.444
2024	50	PZ	+3.0C	132			
2024	60	PZ	+3.0C	132	5.433		
2024	70	PZ	+3.0C	132			
2024	80	PZ	+3.0C	132	10.203	17.2	6.923
2024	90	PZ	+3.0C	132			
2024	100	PZ	+3.0C	132	4.52		
2024	10	LM	ambient	240	6.426	5.89	7.500
2024	20	LM	ambient	240	3.655	4.18	7.501
2024	30	LM	ambient	240			
2024	40	LM	ambient	240	4.116	3.52	7.772
2024	50	LM	ambient	240			
2024	60	LM	ambient	240	5.519		
