ID	Zone	Plot	Subplot	Depth	Treatment	Name	Vegetation Status 	Species	Comment	Replicate_ID	Treshhold_Cylce	log10_copies						
01	PZ	110	veg	0-10	ambient	110veg0-10	2	Salicornia		1	21.61	6.567220071						
03	PZ	110	veg	20-30	ambient	110veg20-30	2	Salicornia		2	22.15	7.437219564						
04	PZ	110	ctr	0-10	ambient	110ctr0-10		Spartina anglica		3	19.01	7.867741565						
06	PZ	110	ctr	20-30	ambient	110ctr20-30		Spartina anglica		4	21.58	6.49146991						
07	PZ	110	non-veg	0-10	ambient	110non-veg0-10				5	18.75	6.893821443						
09	PZ	110	non-veg	20-30	ambient	110non-veg20-30				6	21.16	6.734546773						
10	PZ	111	veg	0-10	1.5C	111veg0-10	1	Salicornia	No Vegetation difference (v&nv)	1	18.84	6.498061253						
12	PZ	111	veg	20-30	1.5C	111veg20-30	1	Salicornia	No Vegetation difference (v&nv)	2	17.86	6.690800201						
13	PZ	111	ctr	0-10	1.5C	111ctr0-10		Salicornia, Spartina anglica		3	19.6	6.791353314						
15	PZ	111	ctr	20-30	1.5C	111ctr20-30		Salicornia, Spartina anglica		4	N/A							
16	PZ	111	non-veg	0-10	1.5C	111non-veg0-10			No Vegetation difference (v&nv)	5	17.96	6.973006246						
18	PZ	111	non-veg	20-30	1.5C	111non-veg20-30			No Vegetation difference (v&nv)	6	N/A							
19	PZ	112	veg	0-10	3.0C	112veg0-10	2	Salicornia, Spartina anglica		1	19.09	6.757811198						
21	PZ	112	veg	20-30	3.0C	112veg20-30	2	Salicornia, Spartina anglica		2	20.81	6.89552054						
22	PZ	112	ctr	0-10	3.0C	112ctr0-10		Spartina anglica		3	18.6	6.862788229						
24	PZ	112	ctr	20-30	3.0C	112ctr20-30		Spartina anglica		4	21.23	7.269860958						
25	PZ	112	non-veg	0-10	3.0C	112non-veg0-10			Watterlogging	5	18.11	6.919077527						
27	PZ	112	non-veg	20-30	3.0C	112non-veg20-30			Watterlogging	6	21.07	6.871223364						
28	PZ	120	veg	0-10	ambient	120veg0-10	2	Salicornia		1	19.37	6.828465768						
30	PZ	120	veg	20-30	ambient	120veg20-30	2	Salicornia		2	21.24	6.703756295						
31	PZ	120	ctr	0-10	ambient	120ctr0-10		Salicornia, Spartina anglica		3	N/A							
33	PZ	120	ctr	20-30	ambient	120ctr20-30		Salicornia, Spartina anglica		4	20.92	6.844549583						
34	PZ	120	non-veg	0-10	ambient	120non-veg0-10				5	18.25	6.914580495						
36	PZ	120	non-veg	20-30	ambient	120non-veg20-30				6	20.06	6.829880217						
37	PZ	121	veg	0-10	1.5C	121veg0-10	2	Salicornia		1	18.51	6.881944584						
39	PZ	121	veg	20-30	1.5C	121veg20-30	2	Salicornia		2	21.35	6.700331897						
40	PZ	121	ctr	0-10	1.5C	121ctr0-10		Salicornia, Limonium vulgare		3	19.73	6.782934852						
42	PZ	121	ctr	20-30	1.5C	121ctr20-30		Salicornia, Limonium vulgare		4	22.09	6.574308874						
43	PZ	121	non-veg	0-10	1.5C	121non-veg0-10				5	18.47	7.035353946						
45	PZ	121	non-veg	20-30	1.5C	121non-veg20-30				6	21.43	6.654222212						
46	PZ	122	veg	0-10	3.0C	122veg0-10	2	Salicornia		1	18.96	6.70450665						
48	PZ	122	veg	20-30	3.0C	122veg20-30	2	Salicornia		2	21.55	6.75353804						
49	PZ	122	ctr	0-10	3.0C	122ctr0-10		Puccinellia		3	19.29	6.397328008						
51	PZ	122	ctr	20-30	3.0C	122ctr20-30		Puccinellia		4	21.47	6.754348205						
52	PZ	122	non-veg	0-10	3.0C	122non-veg0-10				5	18.17	6.962417758						
54	PZ	122	non-veg	20-30	3.0C	122non-veg20-30				6	22.58	6.491196425						
55	PZ	130	veg	0-10	ambient	130veg0-10	2	Salicornia		1	19.09	6.740714487						
57	PZ	130	veg	20-30	ambient	130veg20-30	2	Salicornia		2	22.41	6.541503838						
58	PZ	130	ctr	0-10	ambient	130ctr0-10		Puccinellia		3	23.05	6.358980155						
60	PZ	130	ctr	20-30	ambient	130ctr20-30		Puccinellia		4	23.51	6.33906462						
61	PZ	130	non-veg	0-10	ambient	130non-veg0-10				5	18.9	6.833231962						
63	PZ	130	non-veg	20-30	ambient	130non-veg20-30				6	22.72	6.490494667						
64	PZ	131	veg	0-10	1.5C	131veg0-10	2	Salicornia		1	19.32	6.790744456						
66	PZ	131	veg	20-30	1.5C	131veg20-30	2	Salicornia		2	21.24	6.605187705						
67	PZ	131	ctr	0-10	1.5C	131ctr0-10		Salicornia, Spartina anglica		3	18.69	6.849186918						
69	PZ	131	ctr	20-30	1.5C	131ctr20-30		Salicornia, Spartina anglica		4	21.25	6.42762307						
70	PZ	131	non-veg	0-10	1.5C	131non-veg0-10				5	19.91	6.802078213						
72	PZ	131	non-veg	20-30	1.5C	131non-veg20-30				6	21.17	6.628351216						
73	PZ	132	veg	0-10	3.0C	132veg0-10	3	Salicornia, Spartina anglica		1	17.66	7.011001177						
75	PZ	132	veg	20-30	3.0C	132veg20-30	3	Salicornia, Spartina anglica		2	20.39	6.782704518						
76	PZ	132	ctr	0-10	3.0C	132ctr0-10		Salicornia, Spartina anglica		3	18.85	6.753591373						
78	PZ	132	ctr	20-30	3.0C	132ctr20-30		Salicornia, Spartina anglica		4	20.55	6.769358578						
79	PZ	132	non-veg	0-10	3.0C	132non-veg0-10				5	18.5	6.82611679						
81	PZ	132	non-veg	20-30	3.0C	132non-veg20-30				6	19.32	6.868148072						
82	LM	240	veg	0-10	ambient	240veg0-10	2	Aster tripolium 		1	19.52	6.601365473						
84	LM	240	veg	20-30	ambient	240veg20-30	2	Aster tripolium 		2	22.6	6.416241163						
85	LM	240	ctr	0-10	ambient	240ctr0-10		Atriplex portulacoides		3	21.65	6.48309439						
87	LM	240	ctr	20-30	ambient	240ctr20-30		Atriplex portulacoides		4	22.18	6.491382285						
88	LM	240	non-veg	0-10	ambient	240non-veg0-10				5	21.08	6.417893098						
90	LM	240	non-veg	20-30	ambient	240non-veg20-30				6	19.07	6.941211275						
91	LM	241	veg	0-10	1.5C	241veg0-10	3	Triglochin maritima		1	22.12	6.24726829						
93	LM	241	veg	20-30	1.5C	241veg20-30	3	Triglochin maritima		2	22.91	6.342160872						
