ID	Zone	Plot	Subplot	Depth	Treatment	Name	Vegetation Status 	Species	Comment	Replicate_ID	Treshhold_Cylce	log10_copies			
01	PZ	110	veg	0-10	ambient	110veg0-10	2	Salicornia		1	27.92	5.298968615	6.722092314		
03	PZ	110	veg	20-30	ambient	110veg20-30	2	Salicornia		2	27.77	6.231803991	7.905455711		
04	PZ	110	ctr	0-10	ambient	110ctr0-10		Spartina anglica		3	28.19	6.179826986	7.839519441		
06	PZ	110	ctr	20-30	ambient	110ctr20-30		Spartina anglica		4	28.70	5.12557009	6.50212481		
07	PZ	110	non-veg	0-10	ambient	110non-veg0-10				5	27.94	5.232643569	6.637954603		
09	PZ	110	non-veg	20-30	ambient	110non-veg20-30				6	29.02	5.264860983	6.678824525		
10	PZ	111	veg	0-10	1.5C	111veg0-10	1	Salicornia	No Vegetation difference (v&nv)	1	28.05	4.848018502	6.150032256		
12	PZ	111	veg	20-30	1.5C	111veg20-30	1	Salicornia	No Vegetation difference (v&nv)	2	28.65	4.830331436	6.127595042		
13	PZ	111	ctr	0-10	1.5C	111ctr0-10		Salicornia, Spartina anglica		3	28.52	5.175131681	6.564996969		
15	PZ	111	ctr	20-30	1.5C	111ctr20-30		Salicornia, Spartina anglica		4	28.52	5.335844215	6.768871452		
16	PZ	111	non-veg	0-10	1.5C	111non-veg0-10			No Vegetation difference (v&nv)	5	27.74	5.229388644	6.633825517		
18	PZ	111	non-veg	20-30	1.5C	111non-veg20-30			No Vegetation difference (v&nv)	6	28.24	5.317133328	6.745135453		
19	PZ	112	veg	0-10	3.0C	112veg0-10	2	Salicornia, Spartina anglica		1	28.42	5.086652067	6.452754723		
21	PZ	112	veg	20-30	3.0C	112veg20-30	2	Salicornia, Spartina anglica		2	29.31	5.339345686	6.773313299		
22	PZ	112	ctr	0-10	3.0C	112ctr0-10		Spartina anglica		3	28.12	5.160866396	6.54690051		
24	PZ	112	ctr	20-30	3.0C	112ctr20-30		Spartina anglica		4	28.83	5.816018963	7.378004892		
25	PZ	112	non-veg	0-10	3.0C	112non-veg0-10			Watterlogging	5	27.85	5.182922138	6.574879678		
27	PZ	112	non-veg	20-30	3.0C	112non-veg20-30			Watterlogging	6	28.82	5.409891858	6.862805786		
28	PZ	120	veg	0-10	ambient	120veg0-10	2	Salicornia		1	29.05	5.114072147	6.487538909		
30	PZ	120	veg	20-30	ambient	120veg20-30	2	Salicornia		2	28.56	5.303018441	6.727229785		
31	PZ	120	ctr	0-10	ambient	120ctr0-10		Salicornia, Spartina anglica		3	28.70	5.116083467	6.490090401		
33	PZ	120	ctr	20-30	ambient	120ctr20-30		Salicornia, Spartina anglica		4	28.89	5.355602159	6.793935711		
34	PZ	120	non-veg	0-10	ambient	120non-veg0-10				5	28.42	5.12724528	6.5042499		
36	PZ	120	non-veg	20-30	ambient	120non-veg20-30				6	27.46	5.404260479	6.855662009		
37	PZ	121	veg	0-10	1.5C	121veg0-10	2	Salicornia		1	28.44	5.127484852	6.504553812		
39	PZ	121	veg	20-30	1.5C	121veg20-30	2	Salicornia		2	26.30	5.593428926	7.095634702		
40	PZ	121	ctr	0-10	1.5C	121ctr0-10		Salicornia, Limonium vulgare		3	28.06	5.241023754	6.648585423		
42	PZ	121	ctr	20-30	1.5C	121ctr20-30		Salicornia, Limonium vulgare		4	28.53	5.293678553	6.71538152		
43	PZ	121	non-veg	0-10	1.5C	121non-veg0-10				5	27.81	5.348663092	6.785133045		
45	PZ	121	non-veg	20-30	1.5C	121non-veg20-30				6	28.20	5.324176618	6.754070333		
46	PZ	122	veg	0-10	3.0C	122veg0-10	2	Salicornia		1	28.36	5.025097624	6.374668839		
48	PZ	122	veg	20-30	3.0C	122veg20-30	2	Salicornia		2	28.19	5.438177637	6.898688169		
49	PZ	122	ctr	0-10	3.0C	122ctr0-10		Puccinellia		3	28.83	4.713215963	5.979026316		
51	PZ	122	ctr	20-30	3.0C	122ctr20-30		Puccinellia		4	28.58	5.380409735	6.825405762		
52	PZ	122	non-veg	0-10	3.0C	122non-veg0-10				5	28.22	5.188002729	6.581324744		
54	PZ	122	non-veg	20-30	3.0C	122non-veg20-30				6	28.62	5.267559808	6.682248163		
55	PZ	130	veg	0-10	ambient	130veg0-10	2	Salicornia		1	28.48	5.062868547	6.422583755		
57	PZ	130	veg	20-30	ambient	130veg20-30	2	Salicornia		2	28.68	5.286656024	6.706472977		
58	PZ	130	ctr	0-10	ambient	130ctr0-10		Puccinellia		3	29.04	5.149419584	6.532379471		
60	PZ	130	ctr	20-30	ambient	130ctr20-30		Puccinellia		4	28.92	5.206296235	6.604531267		
61	PZ	130	non-veg	0-10	ambient	130non-veg0-10				5	28.27	5.153612489	6.53769845		
63	PZ	130	non-veg	20-30	ambient	130non-veg20-30				6	29.41	5.188069347	6.581409254		
64	PZ	131	veg	0-10	1.5C	131veg0-10	2	Salicornia		1	28.23	5.172609564	6.561797496		
66	PZ	131	veg	20-30	1.5C	131veg20-30	2	Salicornia		2	28.51	5.213329061	6.613452872		
67	PZ	131	ctr	0-10	1.5C	131ctr0-10		Salicornia, Spartina anglica		3	28.23	5.146053672	6.52810959		
69	PZ	131	ctr	20-30	1.5C	131ctr20-30		Salicornia, Spartina anglica		4	28.56	5.036201406	6.388754721		
70	PZ	131	non-veg	0-10	1.5C	131non-veg0-10				5	27.92	5.300344213	6.723837351		
72	PZ	131	non-veg	20-30	1.5C	131non-veg20-30				6	28.53	5.224199577	6.627242842		
73	PZ	132	veg	0-10	3.0C	132veg0-10	3	Salicornia, Spartina anglica		1	27.87	5.21028987	6.609597458		
75	PZ	132	veg	20-30	3.0C	132veg20-30	3	Salicornia, Spartina anglica		2	28.27	5.301550893	6.725368104		
76	PZ	132	ctr	0-10	3.0C	132ctr0-10		Salicornia, Spartina anglica		3	28.40	5.053097848	6.410188976		
78	PZ	132	ctr	20-30	3.0C	132ctr20-30		Salicornia, Spartina anglica		4	28.50	5.28256261	6.70128021		
79	PZ	132	non-veg	0-10	3.0C	132non-veg0-10				5	28.17	5.104906462	6.475911631		
81	PZ	132	non-veg	20-30	3.0C	132non-veg20-30				6	27.62	5.322437835	6.751864572		
82	LM	240	veg	0-10	ambient	240veg0-10	2	Aster tripolium 		1	27.92	5.053578796	6.410799091		
84	LM	240	veg	20-30	ambient	240veg20-30	2	Aster tripolium 		2	28.84	5.170022706	6.558515896		
85	LM	240	ctr	0-10	ambient	240ctr0-10		Atriplex portulacoides		3	29.02	5.086366652	6.452392656		
87	LM	240	ctr	20-30	ambient	240ctr20-30		Atriplex portulacoides		4	28.36	5.246050124	6.654961706		
88	LM	240	non-veg	0-10	ambient	240non-veg0-10				5	29.21	4.924273869	6.246767235		
90	LM	240	non-veg	20-30	ambient	240non-veg20-30				6	28.38	5.266507453	6.680913181		
