ID	Zone	Plot	Subplot	Depth	Treatment	Name	Vegetation Status 	Species	Comment	Replicate_ID	Treshhold_Cylce	log10_copies			
01	PZ	110	veg	0-10	ambient	110veg0-10	2	Salicornia		1	24.51	6.167577001			
03	PZ	110	veg	20-30	ambient	110veg20-30	2	Salicornia		2	24.59	7.112652675			
04	PZ	110	ctr	0-10	ambient	110ctr0-10		Spartina anglica		3	23.77	7.210969659			
06	PZ	110	ctr	20-30	ambient	110ctr20-30		Spartina anglica		4	23.99	6.149952999			
07	PZ	110	non-veg	0-10	ambient	110non-veg0-10				5	23.30	6.246546462			
09	PZ	110	non-veg	20-30	ambient	110non-veg20-30				6	23.57	6.38793511			
10	PZ	111	veg	0-10	1.5C	111veg0-10	1	Salicornia	No Vegetation difference (v&nv)	1	24.07	5.766414243			
12	PZ	111	veg	20-30	1.5C	111veg20-30	1	Salicornia	No Vegetation difference (v&nv)	2	23.67	5.87453327			
13	PZ	111	ctr	0-10	1.5C	111ctr0-10		Salicornia, Spartina anglica		3	24.39	6.129893815			
15	PZ	111	ctr	20-30	1.5C	111ctr20-30		Salicornia, Spartina anglica		4	24.24	6.316578719			
16	PZ	111	non-veg	0-10	1.5C	111non-veg0-10			No Vegetation difference (v&nv)	5	23.76	6.162767207			
18	PZ	111	non-veg	20-30	1.5C	111non-veg20-30			No Vegetation difference (v&nv)	6	23.91	6.301221953			
19	PZ	112	veg	0-10	3.0C	112veg0-10	2	Salicornia, Spartina anglica		1		5.794940165			
21	PZ	112	veg	20-30	3.0C	112veg20-30	2	Salicornia, Spartina anglica		2	23.68	6.488654827			
22	PZ	112	ctr	0-10	3.0C	112ctr0-10		Spartina anglica		3	23.12	6.216789108			
24	PZ	112	ctr	20-30	3.0C	112ctr20-30		Spartina anglica		4	24.60	6.815358242			
25	PZ	112	non-veg	0-10	3.0C	112non-veg0-10			Watterlogging	5	23.28	6.186592232			
27	PZ	112	non-veg	20-30	3.0C	112non-veg20-30			Watterlogging	6	24.06	6.454711708			
28	PZ	120	veg	0-10	ambient	120veg0-10	2	Salicornia		1	23.61	6.229481035			
30	PZ	120	veg	20-30	ambient	120veg20-30	2	Salicornia		2	23.86	6.333402463			
31	PZ	120	ctr	0-10	ambient	120ctr0-10		Salicornia, Spartina anglica		3	23.21	6.235276053			
33	PZ	120	ctr	20-30	ambient	120ctr20-30		Salicornia, Spartina anglica		4	23.30	6.497828717			
34	PZ	120	non-veg	0-10	ambient	120non-veg0-10				5	23.54	6.170462859			
36	PZ	120	non-veg	20-30	ambient	120non-veg20-30				6	23.45	6.346162226			
37	PZ	121	veg	0-10	1.5C	121veg0-10	2	Salicornia		1	23.12	6.223098541			
39	PZ	121	veg	20-30	1.5C	121veg20-30	2	Salicornia		2	23.42	6.396918375			
40	PZ	121	ctr	0-10	1.5C	121ctr0-10		Salicornia, Limonium vulgare		3	23.08	6.29674803			
42	PZ	121	ctr	20-30	1.5C	121ctr20-30		Salicornia, Limonium vulgare		4	24.30	6.267480472			
43	PZ	121	non-veg	0-10	1.5C	121non-veg0-10				5	22.99	6.388806178			
45	PZ	121	non-veg	20-30	1.5C	121non-veg20-30				6	23.38	6.366736163			
46	PZ	122	veg	0-10	3.0C	122veg0-10	2	Salicornia		1	23.32	6.081789495			
48	PZ	122	veg	20-30	3.0C	122veg20-30	2	Salicornia		2	24.00	6.409014967			
