"plotid","Abundance"
"110",9.477509554
"111",9.3249446885
"112",9.5000810695
"120",9.4147620805
"121",9.449070274
"122",9.255113958
"130",9.520620903
"131",9.4802937765
"132",9.5341269545
"240",9.657711179
"241",9.693103857
"242",9.4735961585
"250",9.662632091
"251",9.7565369655
"252",9.634181753
"260",9.8397541395
"261",9.6426555745
"262",9.4822340345
"370",9.5244340785
"371",9.497450237
"372",9.473906651
"380",9.601083556
"381",9.5331738735
"382",9.3249906275
"390",9.551823044
"391",9.3733464155
"392",9.6696743195
