"Plot","Layer","alpha_diversity","plotid"
110,"Topsoil
(0-30 cm)",6.6307472735541,"110"
110,"Subsoil
(40-100 cm)",6.52943289940969,"110"
111,"Topsoil
(0-30 cm)",6.66442423981697,"111"
111,"Subsoil
(40-100 cm)",6.19750531434504,"111"
112,"Topsoil
(0-30 cm)",6.58892641360307,"112"
112,"Subsoil
(40-100 cm)",6.40187313326957,"112"
120,"Topsoil
(0-30 cm)",6.55033077621246,"120"
120,"Subsoil
(40-100 cm)",6.07617890162035,"120"
121,"Topsoil
(0-30 cm)",6.90329463638092,"121"
121,"Subsoil
(40-100 cm)",5.31024895333569,"121"
122,"Topsoil
(0-30 cm)",6.42532755533117,"122"
122,"Subsoil
(40-100 cm)",5.33263736761177,"122"
130,"Topsoil
(0-30 cm)",6.77199546205121,"130"
130,"Subsoil
(40-100 cm)",5.86770890103007,"130"
131,"Topsoil
(0-30 cm)",6.38044981324429,"131"
131,"Subsoil
(40-100 cm)",5.51004959740108,"131"
132,"Topsoil
(0-30 cm)",6.66964087726944,"132"
132,"Subsoil
(40-100 cm)",5.62872105471327,"132"
240,"Topsoil
(0-30 cm)",6.73194263875653,"240"
240,"Subsoil
(40-100 cm)",6.3349817572478,"240"
241,"Topsoil
(0-30 cm)",6.84781897676579,"241"
241,"Subsoil
(40-100 cm)",6.35920325667794,"241"
242,"Topsoil
(0-30 cm)",6.76352982151838,"242"
242,"Subsoil
(40-100 cm)",6.03415773351764,"242"
250,"Topsoil
(0-30 cm)",6.69886172898187,"250"
250,"Subsoil
(40-100 cm)",5.48622430892706,"250"
251,"Topsoil
(0-30 cm)",5.80577471147556,"251"
251,"Subsoil
(40-100 cm)",5.85950156902248,"251"
252,"Topsoil
(0-30 cm)",6.88126366823751,"252"
252,"Subsoil
(40-100 cm)",6.3218897271767,"252"
260,"Topsoil
(0-30 cm)",6.09089294364262,"260"
260,"Subsoil
(40-100 cm)",3.85024241933711,"260"
261,"Topsoil
(0-30 cm)",5.09554211810615,"261"
261,"Subsoil
(40-100 cm)",4.74177431917922,"261"
262,"Topsoil
(0-30 cm)",6.58270648778413,"262"
262,"Subsoil
(40-100 cm)",6.03471316137719,"262"
370,"Topsoil
(0-30 cm)",5.93159696046507,"370"
370,"Subsoil
(40-100 cm)",5.09495414939885,"370"
371,"Topsoil
(0-30 cm)",5.98834540735124,"371"
371,"Subsoil
(40-100 cm)",5.94333354808977,"371"
372,"Topsoil
(0-30 cm)",5.99717855288019,"372"
372,"Subsoil
(40-100 cm)",5.17439585621856,"372"
380,"Topsoil
(0-30 cm)",6.44360687147556,"380"
380,"Subsoil
(40-100 cm)",5.51227050908066,"380"
381,"Topsoil
(0-30 cm)",5.76267909848834,"381"
381,"Subsoil
(40-100 cm)",5.01632045851288,"381"
382,"Topsoil
(0-30 cm)",5.47506432906098,"382"
382,"Subsoil
(40-100 cm)",3.92921014230694,"382"
390,"Topsoil
(0-30 cm)",6.58074125255313,"390"
390,"Subsoil
(40-100 cm)",6.37792202351503,"390"
391,"Topsoil
(0-30 cm)",6.36420556583971,"391"
391,"Subsoil
(40-100 cm)",5.95922765275824,"391"
392,"Topsoil
(0-30 cm)",5.95070084156116,"392"
392,"Subsoil
(40-100 cm)",5.17377232753904,"392"
