taxa;X1;X10;X100;X101;X102;X103;X104;X105;X106;X107;X108;X109;X11;X110;X111;X112;X113;X114;X115;X116;X117;X118;X119;X12;X120;X121;X122;X123;X124;X125;X126;X127;X128;X129;X13;X130;X131;X132;X133;X134;X135;X136;X137;X138;X139;X14;X15;X16;X17;X18;X19;X2;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X3;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X4;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X5;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X6;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X7;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X8;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X9;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99
"Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;others";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005913;0.010262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.013834;0;0;0;0;0;0;0;0;0;0;0.002986;0;0;0;0;0.013476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Archaea;Aenigmarchaeota;Deep_Sea_Euryarchaeotic_Group(DSEG);others;";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02054;0;0;0;0;0;0.013834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Archaea;Aenigmarchaeota;others;";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022893;0;0;0;0;0.035936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Archaea;Asgardarchaeota;Heimdallarchaeia;others;";0;0.0272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.014835;0;0;0;0;0;0;0;0;0;0;0.012618;0.016801;0;0;0;0;0;0;0;0;0.080415;0.026681;0;0;0;0;0.160373;0;0.064779;0;0;0;0;0;0;0;0;0.066533;0;0;0;0;0;0;0.044055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Archaea;Asgardarchaeota;Lokiarchaeia;others;";0;1.427989;0.0236;0;0;0;0;0.02167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.034459;0;0.265061;0;0;0;0;0.005933;0;0;0;0;0.289274;0;0;0;0;0;0.017093;0;0;0;0;0.428998;2.772177;0.053187;0.041322;0.03599;0.409016;0.01401;0.30417;0;0.004545;0.551089;0.371483;0;0;0;0.082184;1.246536;0.0179;0.945782;0;0;0;0.079998;1.296124;0.045353;0.008848;0;0.878241;0.340642;0.21322;0.032442;0.043956;0.061907;0.188758;0.55068;0;0;0.004644;0.13113;0.138384;0.099836;0;0.009589;0.012731;0.053016;0.616206;0;0;0;0.107247;0;0.525695;0;0;0;0.211662;1.126528;0;0.016847;0;0;0;0.5972;0.006608;0;0.013218;0.066324;1.253257;0;0;0.005503;0;0.144444;0;0;0;0.015306;0;0;0;0;0.009165;0.45045;0.825083;0;0;0;0;0;0;0;0;0;0
"Archaea;Asgardarchaeota;Odinarchaeia;others;";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012094;0.008848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Archaea;Asgardarchaeota;others;";0;0.067999;0;0;0;0;0;0;0;0;0;0;0;0.010937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.048213;0.034007;0;0;0;0;0;0;0;0;0;0.119868;0.078405;0;0;0;0.209498;0;0.224125;0;0;0.243613;0.094409;0;0;0;0;0.043738;0;0.045346;0;0;0;0;0;0;0;0;0.212907;0.099539;0;0;0;0;0;0.077095;0;0;0;0.078678;0.025627;0.117988;0;0;0;0.039762;0.07189;0;0;0;0;0;0.103756;0;0;0;0.075106;0.096167;0;0;0;0;0;0.102519;0;0;0;0;0.27401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Archaea;Crenarchaeota;Bathyarchaeia;others;";0;1.087994;0;0;0;0;0;0;0;0;0;0;0;0.114836;0;0;0;0;0;0;0;0;0;0.025195;0.048193;0;0;0;0.025648;0.014832;0;0;0.009709;0.010262;0.344903;0.049121;0;0;0;0.004622;0.05128;0;0.381983;0;0;0.946318;1.5233;0.015196;0.041322;0.086374;1.117319;0.03736;0.936522;0;0;1.383633;1.017987;0.997506;0;0;0.438317;0.524854;0.107401;0.583019;0;0;0;0.505583;1.482955;0.093729;0.030968;0;1.423814;1.599245;0.177683;0.10273;0.070329;0.404225;0;1.116047;0;0;0.006966;0.839232;0.415152;1.27972;0;0;0.025462;0.510274;2.023207;0;0;0;0.137889;0.026164;0.954552;0;0;0;0.327735;0.508307;0;0.010108;0;1.409159;0.020698;1.433282;0;0;0.006609;0.033162;3.202776;0;0;0;0;0.588888;0;0;0;0;0.317208;0.08547;0;0;0;0;2.021452;0.014341;0;0;0;0;0.060017;0;0;0;0
"Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Geothermarchaeaceae";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Archaea;Crenarchaeota;Nitrososphaeria;Marine_Benthic_Group_A;others";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
