"Zone","Layer","pin_estimate","pin_p_value","deep_estimate","deep_p_value","Functional"
"PZ","Top-soil (0-30 cm)",-0.006,0.254,-0.004,0.432,"aerobic_ammonia_oxidation"
"PZ","Bottom-soil (40-100 cm)",-0.001,0.186,0,0.422,"aerobic_ammonia_oxidation"
"LM","Top-soil (0-30 cm)",0,0.671,0,0.643,"aerobic_ammonia_oxidation"
"LM","Bottom-soil (40-100 cm)",0.002,0.62,0.002,0.706,"aerobic_ammonia_oxidation"
"HM","Top-soil (0-30 cm)",0.006,0.529,0.005,0.623,"aerobic_ammonia_oxidation"
"HM","Bottom-soil (40-100 cm)",-0.009,0.6,-0.008,0.672,"aerobic_ammonia_oxidation"
"PZ","Top-soil (0-30 cm)",-0.012,0.361,-0.009,0.514,"aerobic_chemoheterotrophy"
"PZ","Bottom-soil (40-100 cm)",0.02,0.175,0.024,0.116,"aerobic_chemoheterotrophy"
"LM","Top-soil (0-30 cm)",0.013,0.401,0.018,0.324,"aerobic_chemoheterotrophy"
"LM","Bottom-soil (40-100 cm)",-0.016,0.52,-0.017,0.567,"aerobic_chemoheterotrophy"
"HM","Top-soil (0-30 cm)",0.005,0.686,0.002,0.861,"aerobic_chemoheterotrophy"
"HM","Bottom-soil (40-100 cm)",0.03,0.118,0.023,0.269,"aerobic_chemoheterotrophy"
"PZ","Top-soil (0-30 cm)",-0.001,0.166,-0.001,0.146,"aerobic_nitrite_oxidation"
"PZ","Bottom-soil (40-100 cm)",0,0.379,0,0.423,"aerobic_nitrite_oxidation"
"LM","Top-soil (0-30 cm)",0,0.34,0,0.201,"aerobic_nitrite_oxidation"
"LM","Bottom-soil (40-100 cm)",0,0.737,0,0.95,"aerobic_nitrite_oxidation"
"HM","Top-soil (0-30 cm)",0,0.988,0,0.934,"aerobic_nitrite_oxidation"
"HM","Bottom-soil (40-100 cm)",0,0.762,0,0.947,"aerobic_nitrite_oxidation"
"PZ","Top-soil (0-30 cm)",0,0.054,0,0.19,"animal_parasites_or_symbionts"
"PZ","Bottom-soil (40-100 cm)",0,0.59,0,0.463,"animal_parasites_or_symbionts"
"LM","Top-soil (0-30 cm)",0,0.37,0,0.536,"animal_parasites_or_symbionts"
"LM","Bottom-soil (40-100 cm)",-0.001,0.778,-0.002,0.687,"animal_parasites_or_symbionts"
"HM","Top-soil (0-30 cm)",0,0.737,0,0.58,"animal_parasites_or_symbionts"
"HM","Bottom-soil (40-100 cm)",-0.005,0.376,-0.004,0.42,"animal_parasites_or_symbionts"
"PZ","Top-soil (0-30 cm)",0,0.468,0,0.558,"anoxygenic_photoautotrophy"
"PZ","Bottom-soil (40-100 cm)",0,0.427,0,0.492,"anoxygenic_photoautotrophy"
"LM","Top-soil (0-30 cm)",0,0.239,0,0.11,"anoxygenic_photoautotrophy"
"LM","Bottom-soil (40-100 cm)",0,0.96,0,0.701,"anoxygenic_photoautotrophy"
"HM","Top-soil (0-30 cm)",0,0.261,0,0.355,"anoxygenic_photoautotrophy"
"HM","Bottom-soil (40-100 cm)",0,0.506,0,0.666,"anoxygenic_photoautotrophy"
"PZ","Top-soil (0-30 cm)",0,0.544,0,0.578,"cellulolysis"
"PZ","Bottom-soil (40-100 cm)",0,0.169,0,0.042,"cellulolysis"
"LM","Top-soil (0-30 cm)",-0.001,0.673,-0.002,0.66,"cellulolysis"
"LM","Bottom-soil (40-100 cm)",0.001,0.113,0,0.243,"cellulolysis"
"HM","Top-soil (0-30 cm)",0.001,0.494,0.001,0.517,"cellulolysis"
"HM","Bottom-soil (40-100 cm)",0,0.823,0.001,0.593,"cellulolysis"
"PZ","Top-soil (0-30 cm)",0,0.979,0,0.771,"chitinolysis"
"PZ","Bottom-soil (40-100 cm)",0,NA,0,NA,"chitinolysis"
"LM","Top-soil (0-30 cm)",0,0.531,0,0.464,"chitinolysis"
"LM","Bottom-soil (40-100 cm)",0,0.31,0,0.492,"chitinolysis"
"HM","Top-soil (0-30 cm)",0.001,0.61,0.001,0.53,"chitinolysis"
"HM","Bottom-soil (40-100 cm)",0,0.959,0.001,0.702,"chitinolysis"
"PZ","Top-soil (0-30 cm)",0.006,0.634,0.001,0.922,"dark_hydrogen_oxidation"
"PZ","Bottom-soil (40-100 cm)",-0.013,0.056,-0.013,0.06,"dark_hydrogen_oxidation"
"LM","Top-soil (0-30 cm)",-0.016,0.317,-0.023,0.213,"dark_hydrogen_oxidation"
